date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,17.2,19.7,16.85,19.7,1558494
2022-01-04 00:00:00+05:30,22,23,19.55,20.8,2850501
2022-01-05 00:00:00+05:30,23,23.5,21.05,21.45,816610
2022-01-06 00:00:00+05:30,21.45,21.45,19.65,20.35,546817
2022-01-07 00:00:00+05:30,20.55,21.9,20,21.25,520741
2022-01-10 00:00:00+05:30,22.2,22.5,21.4,22,469700
2022-01-11 00:00:00+05:30,21.55,22.45,20.2,20.75,480721
2022-01-12 00:00:00+05:30,21.25,21.25,18.7,18.7,872027
2022-01-13 00:00:00+05:30,18.8,19.6,17.8,19.6,284895
2022-01-14 00:00:00+05:30,19.75,20.5,19,20.1,241928
2022-01-17 00:00:00+05:30,20.35,20.35,19.25,19.4,133003
2022-01-18 00:00:00+05:30,19.35,19.4,18.45,18.45,149375
2022-01-19 00:00:00+05:30,18.45,19,18,18.8,119715
2022-01-20 00:00:00+05:30,18.9,19,17.9,18.9,99423
2022-01-21 00:00:00+05:30,18.9,19.2,18.5,18.95,109450
2022-01-24 00:00:00+05:30,19.3,19.3,18.05,18.05,112171
2022-01-25 00:00:00+05:30,17.15,18.2,17.15,17.55,109124
2022-01-27 00:00:00+05:30,16.7,17.45,16.7,16.7,81280
2022-01-28 00:00:00+05:30,16.4,17.2,16.1,16.55,92932
2022-01-31 00:00:00+05:30,16.1,16.95,15.75,15.8,84145
2022-02-01 00:00:00+05:30,15.3,15.8,15.05,15.25,97570
2022-02-02 00:00:00+05:30,15.05,16,14.65,16,83545
2022-02-03 00:00:00+05:30,16.6,16.6,15.6,16.25,80443
2022-02-04 00:00:00+05:30,16.25,16.75,15.5,15.85,62524
2022-02-07 00:00:00+05:30,16.2,16.4,15.15,15.8,90368
2022-02-08 00:00:00+05:30,15.5,16.05,15.05,15.15,123134
2022-02-09 00:00:00+05:30,14.7,15.6,14.55,15.2,48032
2022-02-10 00:00:00+05:30,15.35,15.35,14.7,14.9,37951
2022-02-11 00:00:00+05:30,15.2,15.2,14.2,14.75,49987
2022-02-14 00:00:00+05:30,14.05,14.5,14.05,14.05,35275
2022-02-15 00:00:00+05:30,14.7,14.7,13.35,14,56557
2022-02-16 00:00:00+05:30,14.1,14.5,13.6,14,24657
2022-02-17 00:00:00+05:30,14.65,14.65,14,14.4,23462
2022-02-18 00:00:00+05:30,13.85,14.7,13.85,14,25210
2022-02-21 00:00:00+05:30,14,14.4,13.3,13.35,52681
2022-02-22 00:00:00+05:30,13.35,13.35,12.7,13.1,48612
2022-02-23 00:00:00+05:30,13.45,13.75,12.6,13.75,7490
2022-02-24 00:00:00+05:30,13.15,13.7,13.1,13.1,30494
2022-02-25 00:00:00+05:30,12.55,13.45,12.45,13,35058
2022-02-28 00:00:00+05:30,13.1,13.1,12.35,12.9,8996
2022-03-02 00:00:00+05:30,13.2,13.45,12.5,12.7,15375
2022-03-03 00:00:00+05:30,12.45,13.3,12.45,13.3,12091
2022-03-04 00:00:00+05:30,13.95,13.95,13.65,13.95,16142
2022-03-07 00:00:00+05:30,14.25,14.6,14.25,14.6,47220
2022-03-08 00:00:00+05:30,14.95,15.3,14,14.2,69199
2022-03-09 00:00:00+05:30,14.2,14.8,13.95,14.55,13704
2022-03-10 00:00:00+05:30,14.85,15.25,14.2,15.1,32579
2022-03-11 00:00:00+05:30,14.65,15.4,14.5,14.6,19430
2022-03-14 00:00:00+05:30,14.1,15,14.1,14.4,12800
2022-03-15 00:00:00+05:30,14.1,14.95,13.7,13.7,28582
2022-03-16 00:00:00+05:30,14.15,14.15,13.1,13.75,29623
2022-03-17 00:00:00+05:30,14.1,14.1,13.15,13.5,29203
2022-03-21 00:00:00+05:30,13.5,14.15,13.25,13.9,41194
2022-03-22 00:00:00+05:30,13.35,14.25,13.3,14.2,23098
2022-03-23 00:00:00+05:30,14.5,14.6,13.55,13.9,29530
2022-03-24 00:00:00+05:30,13.7,14.5,13.4,13.65,17258
2022-03-25 00:00:00+05:30,13.5,14,13.5,13.55,22440
2022-03-28 00:00:00+05:30,13.9,13.9,12.9,12.95,48406
2022-03-29 00:00:00+05:30,12.5,13.3,12.45,12.65,30852
2022-03-30 00:00:00+05:30,12.65,13.25,12.15,13.2,56872
2022-03-31 00:00:00+05:30,13.75,13.85,12.85,13.15,88752
2022-04-01 00:00:00+05:30,13.15,13.8,13.15,13.75,40798
2022-04-04 00:00:00+05:30,13.8,14.3,13.8,14.3,42113
2022-04-05 00:00:00+05:30,14.3,14.6,13.85,14.3,57300
2022-04-06 00:00:00+05:30,14.4,14.75,14,14.65,86842
2022-04-07 00:00:00+05:30,14.5,15.5,14.4,14.85,80263
2022-04-08 00:00:00+05:30,14.85,14.85,14.4,14.5,65131
