date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,382.2,389.8,376.5,383.05,96786
2022-01-04 00:00:00+05:30,381.05,387.75,364,367,142163
2022-01-05 00:00:00+05:30,367.1,370,356.45,358.95,96423
2022-01-06 00:00:00+05:30,355,375,355,360.6,214544
2022-01-07 00:00:00+05:30,362,374.9,361.85,370.6,179570
2022-01-10 00:00:00+05:30,374,407,366.4,405.5,471680
2022-01-11 00:00:00+05:30,405.6,416.9,396.2,403.75,190304
2022-01-12 00:00:00+05:30,405.1,410,388.7,402.35,180958
2022-01-13 00:00:00+05:30,402.35,421.85,395.55,403.8,180418
2022-01-14 00:00:00+05:30,407,425,400.75,423.15,237880
2022-01-17 00:00:00+05:30,429.8,460.1,429.2,448.05,499300
2022-01-18 00:00:00+05:30,457,467,424.1,428.65,255516
2022-01-19 00:00:00+05:30,429,460,419.9,452.7,207883
2022-01-20 00:00:00+05:30,454.8,456,435,439.2,105728
2022-01-21 00:00:00+05:30,437.95,444.7,420.1,428.75,113775
2022-01-24 00:00:00+05:30,428.75,428.75,390.55,399.75,120209
2022-01-25 00:00:00+05:30,393,408.95,381.05,392.9,123626
2022-01-27 00:00:00+05:30,390,418.7,382.85,398.8,190148
2022-01-28 00:00:00+05:30,405.6,410.85,393,395.85,85288
2022-01-31 00:00:00+05:30,400,401.8,386.95,397.45,74597
2022-02-01 00:00:00+05:30,399,403.95,390,396.35,30327
2022-02-02 00:00:00+05:30,397.4,419.5,397.4,411.05,140190
2022-02-03 00:00:00+05:30,412,415.45,401.3,405.65,50655
2022-02-04 00:00:00+05:30,406.5,409.2,400.8,401.8,36963
2022-02-07 00:00:00+05:30,401.8,406.8,385,394.4,46132
2022-02-08 00:00:00+05:30,395,403.2,385,390.5,81705
2022-02-09 00:00:00+05:30,382,408.35,381,401.8,193523
2022-02-10 00:00:00+05:30,402,406.8,386.1,388.95,58551
2022-02-11 00:00:00+05:30,389.7,391.5,380,383.05,59704
2022-02-14 00:00:00+05:30,380,380,362.15,368.3,79739
2022-02-15 00:00:00+05:30,368,377.05,361.85,373.25,85698
2022-02-16 00:00:00+05:30,376.8,400,375.95,386.05,156385
2022-02-17 00:00:00+05:30,385,393.3,382.8,391.75,48864
2022-02-18 00:00:00+05:30,386,390,383.35,386.9,26284
2022-02-21 00:00:00+05:30,388.8,388.8,378,382.15,46267
2022-02-22 00:00:00+05:30,375,382.5,360.2,379.7,72832
2022-02-23 00:00:00+05:30,379.7,388.4,379.7,384.45,41866
2022-02-24 00:00:00+05:30,365,384.15,357.05,360.65,106190
2022-02-25 00:00:00+05:30,375,380.35,365,378.2,50176
2022-02-28 00:00:00+05:30,366,378.25,366,369.7,41092
2022-03-02 00:00:00+05:30,369,371.75,365.6,369,51878
2022-03-03 00:00:00+05:30,374,379,368,370.05,40212
2022-03-04 00:00:00+05:30,370,371.8,362.65,371,20864
2022-03-07 00:00:00+05:30,362,367.4,355.1,355.7,29505
2022-03-08 00:00:00+05:30,360,367.5,351.45,354.85,40375
2022-03-09 00:00:00+05:30,355,366.2,354.15,364.3,35497
2022-03-10 00:00:00+05:30,371.9,372.75,365.05,368.55,74261
2022-03-11 00:00:00+05:30,366,375,360.6,364.9,75508
2022-03-14 00:00:00+05:30,365,374,355.25,357,42675
2022-03-15 00:00:00+05:30,360,360,348.05,349.75,50298
2022-03-16 00:00:00+05:30,354,357.1,347.5,348.35,41228
2022-03-17 00:00:00+05:30,351,362,351,359,96098
2022-03-21 00:00:00+05:30,352.4,360.7,352.4,359.4,77117
2022-03-22 00:00:00+05:30,361,374,358.85,366.35,76938
2022-03-23 00:00:00+05:30,373,373,352.15,356.4,47396
2022-03-24 00:00:00+05:30,352.6,360,349.1,351.75,130039
2022-03-25 00:00:00+05:30,353.8,361.75,351.1,357.4,140634
2022-03-28 00:00:00+05:30,365.9,382.6,364,376.25,273010
2022-03-29 00:00:00+05:30,381.7,399.95,380.05,393.1,196508
2022-03-30 00:00:00+05:30,399.55,412,391,407.15,142896
2022-03-31 00:00:00+05:30,410,427.4,390.9,409.15,169906
2022-04-01 00:00:00+05:30,419,422.4,409.15,414.75,64915
2022-04-04 00:00:00+05:30,419,425.05,414.05,418.1,131275
2022-04-05 00:00:00+05:30,425,429.8,415,424.7,126506
2022-04-06 00:00:00+05:30,420,447.4,420,442.55,153155
2022-04-07 00:00:00+05:30,444.1,447.9,425.1,425.95,96412
2022-04-08 00:00:00+05:30,430,440,428.8,435.9,57858
