date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,730,747,730,736.4,6180
2022-01-04 00:00:00+05:30,737,773.1,730.55,742.45,4917
2022-01-05 00:00:00+05:30,744.2,744.2,733.25,737.15,2575
2022-01-06 00:00:00+05:30,723.1,739.05,723.1,732.95,2748
2022-01-07 00:00:00+05:30,756.75,756.75,733.05,742.25,2786
2022-01-10 00:00:00+05:30,764,764,738.35,751.95,2857
2022-01-11 00:00:00+05:30,769.95,769.95,739.95,750.45,2893
2022-01-12 00:00:00+05:30,764.5,764.5,740,748.05,4208
2022-01-13 00:00:00+05:30,758.35,758.35,736.9,740.8,3976
2022-01-14 00:00:00+05:30,763.75,763.75,737.35,738.85,3470
2022-01-17 00:00:00+05:30,730,761.5,730,746.05,7125
2022-01-18 00:00:00+05:30,783,783,746.8,747.85,1065
2022-01-19 00:00:00+05:30,748.2,755.8,731.35,740.25,1692
2022-01-20 00:00:00+05:30,750.65,750.65,735.85,742.45,1470
2022-01-21 00:00:00+05:30,755,755,731.35,736,796
2022-01-24 00:00:00+05:30,732,739.25,691,704.8,2326
2022-01-25 00:00:00+05:30,700,715,700,709.45,578
2022-01-27 00:00:00+05:30,718,718,701.6,704.4,1785
2022-01-28 00:00:00+05:30,715,754,715,748.95,3508
2022-01-31 00:00:00+05:30,765,765,724,726.4,2751
2022-02-01 00:00:00+05:30,758.95,760,724,730.75,1261
2022-02-02 00:00:00+05:30,736.1,741,727.6,733.35,831
2022-02-03 00:00:00+05:30,749.9,749.9,726.2,730.65,598
2022-02-04 00:00:00+05:30,742.15,748.75,725.5,739.8,3281
2022-02-07 00:00:00+05:30,750,750,728.05,736.7,1047
2022-02-08 00:00:00+05:30,722.35,742.5,710.45,737.85,2681
2022-02-09 00:00:00+05:30,737.85,743,729.1,740.25,2471
2022-02-10 00:00:00+05:30,755,755,727.95,729.3,3616
2022-02-11 00:00:00+05:30,719.95,734.95,707.05,715.85,6101
2022-02-14 00:00:00+05:30,700,706.05,675.35,679.9,4606
2022-02-15 00:00:00+05:30,687,709.8,680.45,707.65,2740
2022-02-16 00:00:00+05:30,724,724,700.05,708.15,588
2022-02-17 00:00:00+05:30,704.5,715.7,691.2,702.2,4486
2022-02-18 00:00:00+05:30,695.15,703.45,687,689.95,983
2022-02-21 00:00:00+05:30,676.2,698.05,670,679.35,1275
2022-02-22 00:00:00+05:30,670,676.7,646.05,650.05,2339
2022-02-23 00:00:00+05:30,652.4,770.7,642.65,755.65,39566
2022-02-24 00:00:00+05:30,717,748,701,718.8,29689
2022-02-25 00:00:00+05:30,753,753,700.6,702.95,5889
2022-02-28 00:00:00+05:30,691,715.25,691,701.1,2113
2022-03-02 00:00:00+05:30,700.5,709.6,698.85,700.15,700
2022-03-03 00:00:00+05:30,709.95,710,696,701.25,1952
2022-03-04 00:00:00+05:30,691.35,721.55,688.2,703.75,2494
2022-03-07 00:00:00+05:30,694.65,694.65,668.9,676.15,2407
2022-03-08 00:00:00+05:30,685,694.95,670,671.55,2325
2022-03-09 00:00:00+05:30,670,678.1,662.45,673.35,2415
2022-03-10 00:00:00+05:30,680,709.95,680,707.6,1078
2022-03-11 00:00:00+05:30,705,714,695.25,701.95,1390
2022-03-14 00:00:00+05:30,711.2,713.85,693.15,712.05,1355
2022-03-15 00:00:00+05:30,716.65,724.05,710,711.3,1533
2022-03-16 00:00:00+05:30,730,730,712,727.15,744
2022-03-17 00:00:00+05:30,731,745.75,727,737.7,1117
2022-03-21 00:00:00+05:30,730.75,744.95,710,714.65,1540
2022-03-22 00:00:00+05:30,728.6,728.65,698.35,700.95,809
2022-03-23 00:00:00+05:30,713.95,716.55,678,680.75,2903
2022-03-24 00:00:00+05:30,685,790,680.8,754.05,13051
2022-03-25 00:00:00+05:30,753,763.55,725,737.7,5620
2022-03-28 00:00:00+05:30,728,738.35,702,705.65,2336
2022-03-29 00:00:00+05:30,709.9,734.75,704.75,709.1,1300
2022-03-30 00:00:00+05:30,727.85,729.6,712,720.45,1838
2022-03-31 00:00:00+05:30,720.45,727.95,683.8,699.25,11255
2022-04-01 00:00:00+05:30,709.45,715,700.95,712.2,1162
2022-04-04 00:00:00+05:30,710,735,710,733.6,1249
2022-04-05 00:00:00+05:30,739.75,790,725.2,780.05,6239
2022-04-06 00:00:00+05:30,777,794.95,765.35,770.65,2843
2022-04-07 00:00:00+05:30,782.15,790.35,762.9,776.05,2439
2022-04-08 00:00:00+05:30,784,795,779,790.55,1806
