date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,40.65,41.35,40.4,40.7,595668
2022-01-04 00:00:00+05:30,40.95,41.45,40.5,40.7,696895
2022-01-05 00:00:00+05:30,40.7,41.1,40.5,40.65,387261
2022-01-06 00:00:00+05:30,40.45,42.1,40.3,41.55,1148163
2022-01-07 00:00:00+05:30,41.7,41.9,40.8,40.95,575401
2022-01-10 00:00:00+05:30,41.25,41.8,40.9,41.35,727572
2022-01-11 00:00:00+05:30,41.65,42.95,41,41.6,1418364
2022-01-12 00:00:00+05:30,41.9,44.2,41.5,42.7,3408574
2022-01-13 00:00:00+05:30,42.75,42.9,41.85,42.05,867770
2022-01-14 00:00:00+05:30,41.8,42.75,41.65,42.05,619342
2022-01-17 00:00:00+05:30,42.3,42.55,41.8,42,725322
2022-01-18 00:00:00+05:30,42,45.2,42,43.7,5873584
2022-01-19 00:00:00+05:30,44,45.9,43.8,44.95,4002805
2022-01-20 00:00:00+05:30,45.3,45.9,43.8,44.25,1767849
2022-01-21 00:00:00+05:30,43.9,44.25,41.9,42.5,1412655
2022-01-24 00:00:00+05:30,42.45,43.3,38.85,39.7,1610868
2022-01-25 00:00:00+05:30,39.75,41.7,38.85,39.6,1485980
2022-01-27 00:00:00+05:30,39.7,40.2,39,39.6,783415
2022-01-28 00:00:00+05:30,40,40.85,39.45,39.6,666932
2022-01-31 00:00:00+05:30,40.05,40.35,39.6,39.7,469008
2022-02-01 00:00:00+05:30,40,41.2,39.5,39.8,888534
2022-02-02 00:00:00+05:30,40.15,40.8,39.9,40.2,678593
2022-02-03 00:00:00+05:30,40.3,41.4,39.95,40.6,952993
2022-02-04 00:00:00+05:30,40.8,41.15,40.1,40.2,477738
2022-02-07 00:00:00+05:30,40.35,40.4,39.25,39.45,409646
2022-02-08 00:00:00+05:30,39.7,39.75,38.3,38.7,439160
2022-02-09 00:00:00+05:30,39,39.25,38.7,38.75,252553
2022-02-10 00:00:00+05:30,39,39.25,38.25,38.55,403617
2022-02-11 00:00:00+05:30,38.8,38.85,38.2,38.4,264394
2022-02-14 00:00:00+05:30,37.5,37.95,36,36.25,579736
2022-02-15 00:00:00+05:30,36.5,36.8,34.9,36.15,519138
2022-02-16 00:00:00+05:30,36.7,37.9,36.55,37.05,427377
2022-02-17 00:00:00+05:30,37.45,37.8,36.95,37.05,267249
2022-02-18 00:00:00+05:30,36.85,36.95,36.05,36.2,224557
2022-02-21 00:00:00+05:30,35.5,36.3,34.75,35.55,736892
2022-02-22 00:00:00+05:30,34.5,34.5,33.1,33.8,846694
2022-02-23 00:00:00+05:30,35,35.3,34.1,34.3,282600
2022-02-24 00:00:00+05:30,33.1,33.3,31.1,31.4,820638
2022-02-25 00:00:00+05:30,31.5,33.2,31.5,33.05,472297
2022-02-28 00:00:00+05:30,32,33.8,32,33.55,422863
2022-03-02 00:00:00+05:30,33.1,34.1,32.2,33.45,340098
2022-03-03 00:00:00+05:30,33.6,34.45,32.9,33.05,479519
2022-03-04 00:00:00+05:30,32.9,33.2,32.25,32.8,534052
2022-03-07 00:00:00+05:30,32.1,32.25,31.5,31.75,368130
2022-03-08 00:00:00+05:30,31.95,32.6,31.7,32.25,401187
2022-03-09 00:00:00+05:30,32.8,33.25,32.05,32.8,458060
2022-03-10 00:00:00+05:30,33.5,33.95,33,33.3,330720
2022-03-11 00:00:00+05:30,33.4,33.65,32.95,33.25,343374
2022-03-14 00:00:00+05:30,33.45,33.55,32.5,32.65,489227
2022-03-15 00:00:00+05:30,32.85,33.15,31.45,31.85,522847
2022-03-16 00:00:00+05:30,32.35,32.75,32.25,32.4,517668
2022-03-17 00:00:00+05:30,32.75,34.1,32.75,33.35,690095
2022-03-21 00:00:00+05:30,33.7,33.85,32.5,32.55,468832
2022-03-22 00:00:00+05:30,32.75,32.8,31.9,32.15,565943
2022-03-23 00:00:00+05:30,32.4,33.8,31.7,33.05,1012293
2022-03-24 00:00:00+05:30,33.1,34.2,32.8,33.5,791339
2022-03-25 00:00:00+05:30,33.75,33.8,32.25,32.35,875018
2022-03-28 00:00:00+05:30,32.3,33.2,32.05,32.6,1314607
2022-03-29 00:00:00+05:30,32.75,32.75,31.3,31.6,1270117
2022-03-30 00:00:00+05:30,32,32.3,31.35,31.5,775611
2022-03-31 00:00:00+05:30,31.4,31.7,30.4,30.55,1151693
2022-04-01 00:00:00+05:30,30.85,32.75,30.65,32.55,851719
2022-04-04 00:00:00+05:30,32.8,33.9,32.7,33.65,693423
2022-04-05 00:00:00+05:30,33.8,34.8,33.35,34.35,775593
2022-04-06 00:00:00+05:30,34,36.2,33.8,35.4,926496
2022-04-07 00:00:00+05:30,35.55,36.4,35,35.65,926974
2022-04-08 00:00:00+05:30,35.65,36.4,35.4,35.7,375244
