date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,39.85,42.2,39.15,40.1,17927
2022-01-04 00:00:00+05:30,42,42,40.25,40.75,9939
2022-01-05 00:00:00+05:30,40.35,41.9,40.25,40.8,17334
2022-01-06 00:00:00+05:30,42.15,42.15,40.1,40.45,7107
2022-01-07 00:00:00+05:30,40.2,41,40.2,40.45,11958
2022-01-10 00:00:00+05:30,42.25,42.25,40.15,40.75,12443
2022-01-11 00:00:00+05:30,42,42.75,40.75,42.75,21666
2022-01-12 00:00:00+05:30,43,44.85,43,44.8,28263
2022-01-13 00:00:00+05:30,47,47,43.1,44.85,43954
2022-01-14 00:00:00+05:30,45,47.05,45,46.8,45923
2022-01-17 00:00:00+05:30,47.9,47.9,45.55,46,26193
2022-01-18 00:00:00+05:30,45.1,46.05,43.7,43.85,17716
2022-01-19 00:00:00+05:30,43.15,44.4,42.3,42.45,20195
2022-01-20 00:00:00+05:30,44.2,44.3,41,42.85,26488
2022-01-21 00:00:00+05:30,44.7,44.75,42.25,43.5,20535
2022-01-24 00:00:00+05:30,44.9,44.9,41.35,41.35,12308
2022-01-25 00:00:00+05:30,39.3,41,39.3,39.9,22542
2022-01-27 00:00:00+05:30,41.75,41.75,38.3,41.3,10116
2022-01-28 00:00:00+05:30,41.85,41.85,39.25,39.4,13926
2022-01-31 00:00:00+05:30,39.4,39.9,38.2,39,10949
2022-02-01 00:00:00+05:30,39.45,40.5,39.35,39.95,3023
2022-02-02 00:00:00+05:30,40.95,41.9,39.3,41.85,26267
2022-02-03 00:00:00+05:30,41.05,43.75,40.15,43.15,31697
2022-02-04 00:00:00+05:30,43.9,43.9,41.85,42.25,25050
2022-02-07 00:00:00+05:30,40.2,46.45,40.2,46.45,71172
2022-02-08 00:00:00+05:30,46.4,46.4,41.85,42.15,39058
2022-02-09 00:00:00+05:30,43.2,44.6,42.05,43.45,8206
2022-02-10 00:00:00+05:30,43,46.5,43,43.95,33335
2022-02-11 00:00:00+05:30,43.5,43.95,42.4,42.85,5101
2022-02-14 00:00:00+05:30,46.5,46.5,40.15,41.35,11580
2022-02-15 00:00:00+05:30,40.25,42.75,39.5,40.65,10465
2022-02-16 00:00:00+05:30,41,42.8,40.5,40.9,11644
2022-02-17 00:00:00+05:30,41.05,44.95,40.25,44.05,70929
2022-02-18 00:00:00+05:30,44.05,45.5,42.4,43.45,47668
2022-02-21 00:00:00+05:30,42.5,47,41.55,42,36474
2022-02-22 00:00:00+05:30,40,43.4,39,42.9,26652
2022-02-23 00:00:00+05:30,41.75,44.85,41.75,43.75,29074
2022-02-24 00:00:00+05:30,42.2,42.95,39.4,39.4,28508
2022-02-25 00:00:00+05:30,38.3,41.7,37.5,38,53532
2022-02-28 00:00:00+05:30,38,39.95,38,38.85,19876
2022-03-02 00:00:00+05:30,38.1,40.3,37,37.9,22251
2022-03-03 00:00:00+05:30,37.9,40,37.9,38.55,10498
2022-03-04 00:00:00+05:30,39.4,39.4,37,38.7,11824
2022-03-07 00:00:00+05:30,37.5,37.7,35.3,36.05,8462
2022-03-08 00:00:00+05:30,36.05,37.5,35,36.95,5841
2022-03-09 00:00:00+05:30,36.4,38.85,36.4,38.15,13210
2022-03-10 00:00:00+05:30,39.6,39.6,38,38.25,7079
2022-03-11 00:00:00+05:30,39.15,40.2,38.3,40,26717
2022-03-14 00:00:00+05:30,39,40.5,39,39.5,10077
2022-03-15 00:00:00+05:30,39,40.35,36.4,36.95,23526
2022-03-16 00:00:00+05:30,38.35,38.9,36.1,37.1,12570
2022-03-17 00:00:00+05:30,36.75,38.75,36.65,38.15,12895
2022-03-21 00:00:00+05:30,38.95,39,37.4,38.7,5560
2022-03-22 00:00:00+05:30,38.1,39.85,37.15,37.85,14774
2022-03-23 00:00:00+05:30,37.2,38.4,36.3,37.75,20672
2022-03-24 00:00:00+05:30,38.15,38.4,37.05,37.25,13801
2022-03-25 00:00:00+05:30,36.75,38.8,36.75,37.4,13736
2022-03-28 00:00:00+05:30,37.6,37.6,34.75,35.25,20974
2022-03-29 00:00:00+05:30,37.35,37.35,34.3,34.9,33714
2022-03-30 00:00:00+05:30,34.25,36.4,32.9,34.25,23709
2022-03-31 00:00:00+05:30,35.55,35.55,33,33.2,39772
2022-04-01 00:00:00+05:30,34.65,36.5,33.05,35.85,28247
2022-04-04 00:00:00+05:30,38.6,39.4,35.9,39.3,22803
2022-04-05 00:00:00+05:30,40,43.2,39.3,43.2,64439
2022-04-06 00:00:00+05:30,44.3,45.15,38.9,43.4,94172
2022-04-07 00:00:00+05:30,44.5,44.5,41.25,41.25,32386
2022-04-08 00:00:00+05:30,39.75,42.4,39.75,40.85,7087
