date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,147,147,142.1,144.3,2590
2022-01-04 00:00:00+05:30,149,149,142.15,146,57031
2022-01-05 00:00:00+05:30,147,147,140.1,142.15,69639
2022-01-06 00:00:00+05:30,139,146.5,138,146.25,26595
2022-01-07 00:00:00+05:30,139.05,153.15,139.05,149.2,19471
2022-01-10 00:00:00+05:30,153,156.65,153,156.65,47771
2022-01-11 00:00:00+05:30,164.4,164.45,157,163,65691
2022-01-12 00:00:00+05:30,171,171,155,157.4,60465
2022-01-13 00:00:00+05:30,152.5,158,151.8,153.85,23629
2022-01-14 00:00:00+05:30,147.5,157,147.5,153.95,48181
2022-01-17 00:00:00+05:30,149.05,161.6,149.05,161.6,30026
2022-01-18 00:00:00+05:30,164,169.65,164,166.35,32600
2022-01-19 00:00:00+05:30,168.5,174.65,159,173.1,65696
2022-01-20 00:00:00+05:30,181.4,181.4,165,168.4,39440
2022-01-21 00:00:00+05:30,167.8,171.4,165,169.3,15739
2022-01-24 00:00:00+05:30,177,177,161.5,166.1,41568
2022-01-25 00:00:00+05:30,164.95,172,163.85,171,21012
2022-01-27 00:00:00+05:30,167,174.75,167,170.95,26252
2022-01-28 00:00:00+05:30,175,175,170,171.4,56547
2022-01-31 00:00:00+05:30,168,177,168,176.4,42798
2022-02-01 00:00:00+05:30,173,185.15,173,178.9,40463
2022-02-02 00:00:00+05:30,183,183.5,172,183.1,36810
2022-02-03 00:00:00+05:30,185,185,177.1,182.15,33800
2022-02-04 00:00:00+05:30,185,185.8,175.05,183.9,30970
2022-02-07 00:00:00+05:30,185,190.5,185,188.8,53530
2022-02-08 00:00:00+05:30,186,191.5,185,190.15,45095
2022-02-09 00:00:00+05:30,192,201,189.4,199.1,66976
2022-02-10 00:00:00+05:30,199.95,212,195.05,209.15,66794
2022-02-11 00:00:00+05:30,222,222,214,220.75,59999
2022-02-14 00:00:00+05:30,228,228,198.7,203.85,66921
2022-02-15 00:00:00+05:30,193.1,220,193.1,219,31632
2022-02-16 00:00:00+05:30,230,230.3,221.2,228.9,30929
2022-02-17 00:00:00+05:30,246,246,237.2,245.4,57630
2022-02-18 00:00:00+05:30,248.8,249,226,232.2,56583
2022-02-21 00:00:00+05:30,235,235,209,212.15,49562
2022-02-22 00:00:00+05:30,209,209,190.95,198.3,53383
2022-02-23 00:00:00+05:30,200,215,200,203.7,32806
2022-02-24 00:00:00+05:30,184.05,200,183.35,184.5,52646
2022-02-25 00:00:00+05:30,192,193.7,186.1,193.7,7268
2022-02-28 00:00:00+05:30,193.7,203.35,189.05,203.25,20552
2022-03-02 00:00:00+05:30,207.5,213.4,207.5,213.4,13789
2022-03-03 00:00:00+05:30,224,224.05,219.05,223.2,72113
2022-03-04 00:00:00+05:30,220,222,213,218.95,11757
2022-03-07 00:00:00+05:30,215.05,217.9,208.05,212.1,71551
2022-03-08 00:00:00+05:30,221,221.95,203.7,206.2,10334
2022-03-09 00:00:00+05:30,206.2,213.85,204.65,209.05,11455
2022-03-10 00:00:00+05:30,219.5,219.5,208,212.7,12406
2022-03-11 00:00:00+05:30,212,217.95,207.25,211.7,28329
2022-03-14 00:00:00+05:30,210,213,201.15,202.5,18867
2022-03-15 00:00:00+05:30,196.25,208.7,195,199.55,20050
2022-03-16 00:00:00+05:30,203.55,204.9,189.6,195.25,27080
2022-03-17 00:00:00+05:30,192.25,205,192,200.3,13367
2022-03-21 00:00:00+05:30,210,210,206,209,5710
2022-03-22 00:00:00+05:30,207,208,202.2,204.5,11141
2022-03-23 00:00:00+05:30,208.35,211.5,203,204.2,7913
2022-03-24 00:00:00+05:30,208.3,210,198.8,203.3,14338
2022-03-25 00:00:00+05:30,208.9,209,195.3,196.7,7966
2022-03-28 00:00:00+05:30,203.95,203.95,190,191.85,17851
2022-03-29 00:00:00+05:30,201.35,201.35,191.8,195.35,10659
2022-03-30 00:00:00+05:30,193.05,199,191.35,196.8,15369
2022-03-31 00:00:00+05:30,197.1,201,190,197.55,14429
2022-04-01 00:00:00+05:30,200,200,193.5,196.2,5721
2022-04-04 00:00:00+05:30,201.5,205,198.1,204.15,22567
2022-04-05 00:00:00+05:30,209,211,205.05,206.65,14166
2022-04-06 00:00:00+05:30,210.7,210.7,201,204.45,11856
2022-04-07 00:00:00+05:30,208.5,208.5,203,203,15014
2022-04-08 00:00:00+05:30,203.1,206.9,198.05,200,7088
