date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,153,157.9,152.4,157.1,14083
2022-01-04 00:00:00+05:30,159,161.25,156.9,158,11206
2022-01-05 00:00:00+05:30,158.05,159.55,156,157.2,6819
2022-01-06 00:00:00+05:30,156,161.55,156,158.9,10534
2022-01-07 00:00:00+05:30,158.9,162.7,156,158.3,13618
2022-01-10 00:00:00+05:30,156,161.65,156,159.35,15777
2022-01-11 00:00:00+05:30,160.9,163.8,158.05,160.85,30435
2022-01-12 00:00:00+05:30,162.9,165,160,160.1,15255
2022-01-13 00:00:00+05:30,163,163,156.05,157.75,9493
2022-01-14 00:00:00+05:30,159,185,157,172.45,321440
2022-01-17 00:00:00+05:30,172.3,174.8,167.2,172.15,45640
2022-01-18 00:00:00+05:30,169.6,173.95,162.55,164.25,25860
2022-01-19 00:00:00+05:30,169.8,170.8,162.9,168.25,27890
2022-01-20 00:00:00+05:30,168.15,169.45,162.05,164.85,23787
2022-01-21 00:00:00+05:30,165,167.15,157.1,158.85,18865
2022-01-24 00:00:00+05:30,163,163.3,147.25,154.25,19050
2022-01-25 00:00:00+05:30,158,158,147.65,155.95,15216
2022-01-27 00:00:00+05:30,154,156,149,154,38185
2022-01-28 00:00:00+05:30,156.95,160.75,153,155.9,15636
2022-01-31 00:00:00+05:30,155.8,168.55,155.55,161.05,28615
2022-02-01 00:00:00+05:30,159,161.35,155,155.7,20998
2022-02-02 00:00:00+05:30,157.95,159,157.05,157.8,10908
2022-02-03 00:00:00+05:30,158,158,153.5,154.3,14985
2022-02-04 00:00:00+05:30,154,159.05,152.1,153.8,24124
2022-02-07 00:00:00+05:30,154.1,156.95,152.6,153.6,9207
2022-02-08 00:00:00+05:30,157,157,150.8,151.1,12592
2022-02-09 00:00:00+05:30,151.1,154.5,146.1,149.75,40587
2022-02-10 00:00:00+05:30,146,151,146,148.9,12220
2022-02-11 00:00:00+05:30,148.05,150.15,144,145.55,16283
2022-02-14 00:00:00+05:30,140,143,137,138.25,18843
2022-02-15 00:00:00+05:30,138.15,143,137.3,138.45,12554
2022-02-16 00:00:00+05:30,139.05,143.95,139,140.65,20767
2022-02-17 00:00:00+05:30,140,144.4,136.1,138,17266
2022-02-18 00:00:00+05:30,136,139.8,135,136.3,8210
2022-02-21 00:00:00+05:30,136.5,137.15,131.2,133.35,9086
2022-02-22 00:00:00+05:30,130.7,136.7,129.5,133.25,7431
2022-02-23 00:00:00+05:30,136,136,130.5,132.25,7346
2022-02-24 00:00:00+05:30,125.5,130,113.3,117.35,40494
2022-02-25 00:00:00+05:30,123.5,131,116.1,125.15,33966
2022-02-28 00:00:00+05:30,128.3,128.3,123.05,125.9,8729
2022-03-02 00:00:00+05:30,124.25,127.5,123,123.95,14244
2022-03-03 00:00:00+05:30,124,126.3,122.15,123.15,12449
2022-03-04 00:00:00+05:30,122.4,125.35,118.7,122.25,7918
2022-03-07 00:00:00+05:30,122.25,123,112.25,115.15,21278
2022-03-08 00:00:00+05:30,117,121,114,119.35,14139
2022-03-09 00:00:00+05:30,121.85,123,119.5,120.9,10648
2022-03-10 00:00:00+05:30,124.1,130.1,123,128.3,18500
2022-03-11 00:00:00+05:30,131,131.1,125.55,126.45,9101
2022-03-14 00:00:00+05:30,129.4,129.45,125.5,126.3,8230
2022-03-15 00:00:00+05:30,126.5,128.25,122,122.3,4558
2022-03-16 00:00:00+05:30,122.3,127.4,122.3,125.75,11419
2022-03-17 00:00:00+05:30,126,128.85,125.45,126.05,10999
2022-03-21 00:00:00+05:30,127.9,127.9,123.35,125,17805
2022-03-22 00:00:00+05:30,125.6,126.55,123,123.75,12294
2022-03-23 00:00:00+05:30,126.9,126.95,120.05,122.1,9530
2022-03-24 00:00:00+05:30,124.9,124.95,121.1,122.45,4525
2022-03-25 00:00:00+05:30,124.1,124.1,120,120.6,8594
2022-03-28 00:00:00+05:30,122,122,117.1,117.65,13878
2022-03-29 00:00:00+05:30,118.7,120,112.6,114.2,26005
2022-03-30 00:00:00+05:30,117.5,117.5,113.5,114.4,13688
2022-03-31 00:00:00+05:30,116.5,116.5,114.5,114.9,12413
2022-04-01 00:00:00+05:30,113.5,123.5,113.5,121.4,32932
2022-04-04 00:00:00+05:30,121.4,131.5,121.4,130.55,34319
2022-04-05 00:00:00+05:30,133.95,152,128.65,144.15,66542
2022-04-06 00:00:00+05:30,142.15,151.8,137.65,146.95,76566
2022-04-07 00:00:00+05:30,144.5,148,140,141.25,16442
2022-04-08 00:00:00+05:30,144,148.75,142.35,144.4,22181
