date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,560,568,558.25,561.8,55708
2022-01-04 00:00:00+05:30,559,576,559,571.7,81307
2022-01-05 00:00:00+05:30,574.6,582.65,571,575.35,62446
2022-01-06 00:00:00+05:30,575.35,584,549,575.65,83057
2022-01-07 00:00:00+05:30,578.55,583,573.55,581.4,59395
2022-01-10 00:00:00+05:30,585,590,575.2,579.3,81956
2022-01-11 00:00:00+05:30,586.5,598,578.1,582.15,150439
2022-01-12 00:00:00+05:30,585.1,609.9,580.35,605.75,286444
2022-01-13 00:00:00+05:30,607,609.9,599,599.9,101655
2022-01-14 00:00:00+05:30,604.7,609,588.85,591.95,63294
2022-01-17 00:00:00+05:30,593.95,596.8,590,591.45,33712
2022-01-18 00:00:00+05:30,590,590,572.85,576.2,56668
2022-01-19 00:00:00+05:30,574.35,583.15,571.05,580.2,38915
2022-01-20 00:00:00+05:30,580.25,589.7,566.35,571.9,56415
2022-01-21 00:00:00+05:30,566.35,572.65,560,562.25,56614
2022-01-24 00:00:00+05:30,563,574,531.5,563.1,85962
2022-01-25 00:00:00+05:30,562,588,533,579.35,192073
2022-01-27 00:00:00+05:30,579.35,580,553,576.7,64646
2022-01-28 00:00:00+05:30,580.95,592.85,574,576.25,97096
2022-01-31 00:00:00+05:30,583.9,596,570.45,575.3,77528
2022-02-01 00:00:00+05:30,575.3,600,573,586.8,88803
2022-02-02 00:00:00+05:30,589.75,624.1,588.55,612.85,763640
2022-02-03 00:00:00+05:30,619,636.2,614.1,626.25,521621
2022-02-04 00:00:00+05:30,630,640,617,619.15,185067
2022-02-07 00:00:00+05:30,619.95,624.65,599,604.65,103180
2022-02-08 00:00:00+05:30,610,610,587.15,592.2,79517
2022-02-09 00:00:00+05:30,595,600.25,583.3,596.5,73847
2022-02-10 00:00:00+05:30,598,613,588.05,610.65,143300
2022-02-11 00:00:00+05:30,606.1,606.1,594,598.65,72964
2022-02-14 00:00:00+05:30,566.3,587.95,565.95,572.15,75929
2022-02-15 00:00:00+05:30,575,579.9,550.5,570.95,96125
2022-02-16 00:00:00+05:30,572.5,582,561,566.15,54012
2022-02-17 00:00:00+05:30,567.85,574.9,562.2,570.45,48167
2022-02-18 00:00:00+05:30,571,577.25,564.9,568.8,42664
2022-02-21 00:00:00+05:30,569.55,573,546.2,559.3,81849
2022-02-22 00:00:00+05:30,541.3,565.15,535,553.6,80413
2022-02-23 00:00:00+05:30,560,564.8,553.25,555.45,28646
2022-02-24 00:00:00+05:30,535,552,519.35,533.15,141321
2022-02-25 00:00:00+05:30,535,555.1,535,547.4,58436
2022-02-28 00:00:00+05:30,541.75,548.5,532.9,537.9,68767
2022-03-02 00:00:00+05:30,526.15,551,526,536.8,79498
2022-03-03 00:00:00+05:30,537.1,559.95,537.1,542.6,158768
2022-03-04 00:00:00+05:30,540,544.5,515,522.25,102812
2022-03-07 00:00:00+05:30,519,530,505,519.45,70272
2022-03-08 00:00:00+05:30,522.05,531.9,514.1,525.05,51116
2022-03-09 00:00:00+05:30,527.7,538.8,525.1,532.15,61897
2022-03-10 00:00:00+05:30,537,544.6,530.1,534.4,63441
2022-03-11 00:00:00+05:30,534.2,554,529.05,544.35,77152
2022-03-14 00:00:00+05:30,549.9,550,540.05,542.95,63285
2022-03-15 00:00:00+05:30,545.7,554.25,523.7,535.15,68642
2022-03-16 00:00:00+05:30,537.8,549.4,537.65,544.45,96337
2022-03-17 00:00:00+05:30,547.2,571.8,546.1,567.4,213008
2022-03-21 00:00:00+05:30,567.4,574.6,555,561.65,70776
2022-03-22 00:00:00+05:30,574,579,562.2,564.95,130027
2022-03-23 00:00:00+05:30,569.35,569.35,550.2,553.3,75037
2022-03-24 00:00:00+05:30,553.3,553.8,540,543.05,133748
2022-03-25 00:00:00+05:30,543.95,544.9,531.5,533,84527
2022-03-28 00:00:00+05:30,532.6,535,521.15,530.85,362532
2022-03-29 00:00:00+05:30,539.9,542.4,523.8,529,221792
2022-03-30 00:00:00+05:30,529.1,540,525,531.35,120395
2022-03-31 00:00:00+05:30,526.05,535.5,518.45,520.95,120321
2022-04-01 00:00:00+05:30,523.95,540,522.65,534.85,98644
2022-04-04 00:00:00+05:30,547,547,533,535.1,149932
2022-04-05 00:00:00+05:30,537.75,564.9,536.75,540.9,477875
2022-04-06 00:00:00+05:30,538.15,548.25,538,539.7,219272
2022-04-07 00:00:00+05:30,539.8,550.65,531.2,534.55,173564
2022-04-08 00:00:00+05:30,537.9,541.45,536,538.85,62465
