date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,9.8,9.95,9.5,9.7,1619784
2022-01-04 00:00:00+05:30,9.85,10.15,9.7,10,866907
2022-01-05 00:00:00+05:30,10.05,10.5,9.6,10.5,1681234
2022-01-06 00:00:00+05:30,10.75,11,10.2,11,3107465
2022-01-07 00:00:00+05:30,11.5,11.55,11.15,11.2,3299369
2022-01-10 00:00:00+05:30,11.4,11.75,11.25,11.4,1778355
2022-01-11 00:00:00+05:30,11.4,11.4,10.85,10.85,1123810
2022-01-12 00:00:00+05:30,10.5,10.8,10.35,10.5,1357144
2022-01-13 00:00:00+05:30,10.55,10.95,10,10.3,689883
2022-01-14 00:00:00+05:30,10.5,10.8,10.3,10.8,1110242
2022-01-17 00:00:00+05:30,11,11.3,10.85,11.3,3028106
2022-01-18 00:00:00+05:30,11.5,11.85,11.45,11.85,2239938
2022-01-19 00:00:00+05:30,12.2,12.4,12.05,12.4,2474531
2022-01-20 00:00:00+05:30,13,13,13,13,262423
2022-01-21 00:00:00+05:30,13.65,13.65,12.65,13.55,1732056
2022-01-24 00:00:00+05:30,13.7,13.7,12.9,12.9,990633
2022-01-25 00:00:00+05:30,12.3,12.3,12.3,12.3,169739
2022-01-27 00:00:00+05:30,11.7,12.85,11.7,12.55,1773458
2022-01-28 00:00:00+05:30,13.15,13.15,13.15,13.15,327497
2022-01-31 00:00:00+05:30,13.8,13.8,13.5,13.8,826718
2022-02-01 00:00:00+05:30,14.45,14.45,13.15,13.15,3142891
2022-02-02 00:00:00+05:30,12.85,13.55,12.5,13.2,974408
2022-02-03 00:00:00+05:30,13,13.8,12.75,12.95,629928
2022-02-04 00:00:00+05:30,13,13.3,12.65,12.85,320148
2022-02-07 00:00:00+05:30,12.95,13.45,12.9,13.1,576177
2022-02-08 00:00:00+05:30,13.5,13.55,12.45,12.45,926472
2022-02-09 00:00:00+05:30,12.35,12.4,11.85,11.9,451786
2022-02-10 00:00:00+05:30,11.75,12,11.35,11.4,579708
2022-02-11 00:00:00+05:30,11.4,11.95,10.95,11.7,349148
2022-02-14 00:00:00+05:30,11.4,11.4,11.15,11.15,259141
2022-02-15 00:00:00+05:30,11.1,11.5,10.75,11,509118
2022-02-16 00:00:00+05:30,11,11.45,10.85,11.3,204220
2022-02-17 00:00:00+05:30,11.5,11.6,10.75,10.75,594973
2022-02-18 00:00:00+05:30,10.45,11.2,10.45,10.65,240210
2022-02-21 00:00:00+05:30,10.35,10.75,10.15,10.15,562561
2022-02-22 00:00:00+05:30,9.8,10.15,9.65,9.65,416658
2022-02-23 00:00:00+05:30,9.55,10.1,9.35,10.1,210261
2022-02-24 00:00:00+05:30,9.6,9.85,9.6,9.6,58433
2022-02-25 00:00:00+05:30,9.8,9.95,9.2,9.65,665163
2022-02-28 00:00:00+05:30,9.4,9.7,9.25,9.5,353351
2022-03-02 00:00:00+05:30,9.7,9.75,9.15,9.4,129510
2022-03-03 00:00:00+05:30,9.55,9.55,9,9.25,250745
2022-03-04 00:00:00+05:30,9.4,9.4,8.85,8.85,472691
2022-03-07 00:00:00+05:30,9.1,9.1,8.45,8.45,225939
2022-03-08 00:00:00+05:30,8.15,8.65,8.1,8.4,199659
2022-03-09 00:00:00+05:30,8.65,8.8,8.5,8.8,145124
2022-03-10 00:00:00+05:30,9.1,9.2,9,9.2,126344
2022-03-11 00:00:00+05:30,9.6,9.65,9.4,9.65,39990
2022-03-14 00:00:00+05:30,9.85,9.85,9.2,9.2,316981
2022-03-15 00:00:00+05:30,9.05,9.1,8.9,8.95,258971
2022-03-16 00:00:00+05:30,9.2,9.25,8.85,9.2,117344
2022-03-17 00:00:00+05:30,9.35,9.4,9,9.05,130467
2022-03-21 00:00:00+05:30,9.05,9.15,9,9,91418
2022-03-22 00:00:00+05:30,8.85,9.1,8.6,8.65,263655
2022-03-23 00:00:00+05:30,8.9,9.05,8.5,9,287190
2022-03-24 00:00:00+05:30,9,9,8.55,8.55,479987
2022-03-25 00:00:00+05:30,8.6,8.6,8.15,8.2,565546
2022-03-28 00:00:00+05:30,8.4,8.4,7.8,7.8,433803
2022-03-29 00:00:00+05:30,7.5,7.85,7.45,7.6,512045
2022-03-30 00:00:00+05:30,7.75,7.95,7.55,7.75,267358
2022-03-31 00:00:00+05:30,7.95,7.95,7.4,7.45,347582
2022-04-01 00:00:00+05:30,7.6,7.8,7.6,7.8,98876
2022-04-04 00:00:00+05:30,8.15,8.15,8.15,8.15,50312
2022-04-05 00:00:00+05:30,8.55,8.55,8.55,8.55,29990
2022-04-06 00:00:00+05:30,8.8,8.95,8.45,8.95,322117
2022-04-07 00:00:00+05:30,9.55,9.8,9.15,9.8,171454
2022-04-08 00:00:00+05:30,10.7,10.75,9.9,10.1,968239
