date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,304.2,344.7,301.1,334,653873
2022-01-04 00:00:00+05:30,337.4,337.4,301,304.15,185844
2022-01-05 00:00:00+05:30,304.05,320,300,305.65,105253
2022-01-06 00:00:00+05:30,299,308.3,290.05,298.4,55610
2022-01-07 00:00:00+05:30,303.5,322,303,312.3,91909
2022-01-10 00:00:00+05:30,314.5,324.35,305.1,306.75,58792
2022-01-11 00:00:00+05:30,305.05,305.05,295.6,297.15,35345
2022-01-12 00:00:00+05:30,305,309.95,297.35,298.9,30322
2022-01-13 00:00:00+05:30,300,300,284,292.8,15465
2022-01-14 00:00:00+05:30,292.8,292.8,284,290,7311
2022-01-17 00:00:00+05:30,291,302.9,291,294.65,11763
2022-01-18 00:00:00+05:30,298.85,298.95,279.95,280.85,12622
2022-01-19 00:00:00+05:30,289,294.85,281.5,287.85,8963
2022-01-20 00:00:00+05:30,283,290,276.05,286.6,8331
2022-01-21 00:00:00+05:30,289,290,275.05,283.2,7104
2022-01-24 00:00:00+05:30,269.05,288.8,269.05,269.15,19152
2022-01-25 00:00:00+05:30,271.95,282.6,257.1,278.7,11662
2022-01-27 00:00:00+05:30,282,282,268,276.95,5846
2022-01-28 00:00:00+05:30,276.95,290.75,275,287.55,13612
2022-01-31 00:00:00+05:30,292,298.95,285,287.6,5632
2022-02-01 00:00:00+05:30,285,298,281.2,286,9239
2022-02-02 00:00:00+05:30,297.25,297.25,282,285.75,4246
2022-02-03 00:00:00+05:30,292,292,284.5,287.85,2694
2022-02-04 00:00:00+05:30,291,294.75,280,285.5,5445
2022-02-07 00:00:00+05:30,291.25,295.4,280,281.45,7169
2022-02-08 00:00:00+05:30,285,287,276.1,278.75,2936
2022-02-09 00:00:00+05:30,287.45,287.45,267.25,278.15,2699
2022-02-10 00:00:00+05:30,292.05,292.05,292.05,292.05,6939
2022-02-11 00:00:00+05:30,306.65,306.65,306.65,306.65,17380
2022-02-14 00:00:00+05:30,321.95,321.95,308,321.9,99220
2022-02-15 00:00:00+05:30,322.8,334.95,305.85,332.05,59942
2022-02-16 00:00:00+05:30,342.9,346.5,325.1,329.85,27385
2022-02-17 00:00:00+05:30,327.6,334.9,315.1,317.75,6894
2022-02-18 00:00:00+05:30,323,326,301.9,304.55,14614
2022-02-21 00:00:00+05:30,309,309,291.05,294.25,7015
2022-02-22 00:00:00+05:30,297.15,297.15,279.55,288.35,13737
2022-02-23 00:00:00+05:30,294,302.75,286.4,302.75,8949
2022-02-24 00:00:00+05:30,288.1,301.9,287.65,287.65,15046
2022-02-25 00:00:00+05:30,293.7,300.85,290.15,298.75,7724
2022-02-28 00:00:00+05:30,296.45,296.45,285.55,294,5926
2022-03-02 00:00:00+05:30,282.25,293.9,280.2,287,3898
2022-03-03 00:00:00+05:30,287,299.95,285,295.4,7447
2022-03-04 00:00:00+05:30,299,301,287,294.35,6399
2022-03-07 00:00:00+05:30,287.1,304.9,281.6,300.35,19313
2022-03-08 00:00:00+05:30,300.35,307.8,286.05,304.7,10396
2022-03-09 00:00:00+05:30,304.7,319.9,304.7,319.9,13415
2022-03-10 00:00:00+05:30,333,334.85,319,319.3,9649
2022-03-11 00:00:00+05:30,325,325,315.1,323.95,7343
2022-03-14 00:00:00+05:30,325.25,333,318,326.5,8334
2022-03-15 00:00:00+05:30,326,331.9,311.6,318,8499
2022-03-16 00:00:00+05:30,331,333,313.05,328.85,14077
2022-03-17 00:00:00+05:30,335,345.25,325.3,338.15,21822
2022-03-21 00:00:00+05:30,344,344,325,326.2,5886
2022-03-22 00:00:00+05:30,332,342,312.35,332.25,7346
2022-03-23 00:00:00+05:30,331,342,325.15,331.2,8919
2022-03-24 00:00:00+05:30,325,337,315,319,7099
2022-03-25 00:00:00+05:30,319,334.95,318,330.15,17236
2022-03-28 00:00:00+05:30,332.1,346.65,332.1,346.65,29899
2022-03-29 00:00:00+05:30,363.9,363.95,358.9,363.95,30740
2022-03-30 00:00:00+05:30,373.7,382.1,347.4,361.1,141807
2022-03-31 00:00:00+05:30,356.1,379.15,356.1,379.15,35840
2022-04-01 00:00:00+05:30,397,398.1,386.75,398.1,48725
2022-04-04 00:00:00+05:30,407.05,418,407.05,418,62214
2022-04-05 00:00:00+05:30,429.9,437,397.1,398.65,116378
2022-04-06 00:00:00+05:30,398.5,398.5,380.7,390,34653
2022-04-07 00:00:00+05:30,384,409.5,382.05,399.8,49705
2022-04-08 00:00:00+05:30,402,409.45,396.05,399.25,33682
