date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,897,917.35,895.35,914.15,799020
2022-01-04 00:00:00+05:30,918.7,919.9,900,909.1,702903
2022-01-05 00:00:00+05:30,907.8,918,901.5,915.2,749483
2022-01-06 00:00:00+05:30,909.55,916.3,902.55,904.15,696490
2022-01-07 00:00:00+05:30,908,929.35,906.2,927.2,1286246
2022-01-10 00:00:00+05:30,934,943.75,925.3,939.25,1505658
2022-01-11 00:00:00+05:30,935.2,981.65,933.95,972.2,5039766
2022-01-12 00:00:00+05:30,980.95,1001.85,975.3,993,3612732
2022-01-13 00:00:00+05:30,993,1019.35,985.65,1014.05,2721558
2022-01-14 00:00:00+05:30,1008.5,1050.3,1002.55,1028.75,3465609
2022-01-17 00:00:00+05:30,1027,1034.65,996.75,1029.25,2763467
2022-01-18 00:00:00+05:30,1029.9,1041.95,1000.15,1005.95,1212958
2022-01-19 00:00:00+05:30,1005,1020,985.35,1011.65,1508638
2022-01-20 00:00:00+05:30,1005,1016.8,993,998.05,977785
2022-01-21 00:00:00+05:30,993.9,997.1,960,965,1180770
2022-01-24 00:00:00+05:30,961,962,903.35,912.15,1594186
2022-01-25 00:00:00+05:30,903,922.45,888.5,919.25,1080389
2022-01-27 00:00:00+05:30,910,915.6,892.05,910.9,1004093
2022-01-28 00:00:00+05:30,919,956.6,919,944.05,2235105
2022-01-31 00:00:00+05:30,957.9,957.9,931.9,933.75,1533507
2022-02-01 00:00:00+05:30,937,956.7,925.55,953.25,1274082
2022-02-02 00:00:00+05:30,960,974.8,956.25,966.75,1004642
2022-02-03 00:00:00+05:30,965,981,961.5,965.35,1577566
2022-02-04 00:00:00+05:30,970,972,950.6,957.7,935679
2022-02-07 00:00:00+05:30,960,967.75,946.5,953.2,657299
2022-02-08 00:00:00+05:30,957,959.6,916,927.9,1061197
2022-02-09 00:00:00+05:30,934.2,973,933.8,967.55,1041919
2022-02-10 00:00:00+05:30,971.8,975,956,959.8,1395980
2022-02-11 00:00:00+05:30,964,968.9,911.55,914.7,3439322
2022-02-14 00:00:00+05:30,895,910,882.65,885.8,1753038
2022-02-15 00:00:00+05:30,893,915.7,870,912.7,1913236
2022-02-16 00:00:00+05:30,921.9,921.9,898.75,904.95,1434290
2022-02-17 00:00:00+05:30,906,916.9,894,896.85,1133932
2022-02-18 00:00:00+05:30,892,902.85,883.6,886.9,731374
2022-02-21 00:00:00+05:30,886.8,890.5,872,876.9,1119313
2022-02-22 00:00:00+05:30,850,874,850,868.5,1089327
2022-02-23 00:00:00+05:30,873.2,882.2,862.1,864.1,704493
2022-02-24 00:00:00+05:30,844.3,846.75,781,785.6,2833879
2022-02-25 00:00:00+05:30,802,837.45,797,826.4,1964093
2022-02-28 00:00:00+05:30,824,846.4,814.45,841.25,1199536
2022-03-02 00:00:00+05:30,832.85,859.25,828.05,855.85,1644989
2022-03-03 00:00:00+05:30,865.4,898.75,865,889.55,2822048
2022-03-04 00:00:00+05:30,885.55,888.65,858.5,861.55,1646850
2022-03-07 00:00:00+05:30,844,857.1,831.1,848.75,1213330
2022-03-08 00:00:00+05:30,848.05,876.3,841.05,869.9,1399463
2022-03-09 00:00:00+05:30,876.8,895,872.2,890.9,995816
2022-03-10 00:00:00+05:30,911,925.65,894.9,909.6,2152832
2022-03-11 00:00:00+05:30,908.85,929.8,904.05,927.25,1296404
2022-03-14 00:00:00+05:30,930.55,938.5,917.45,931.85,1531845
2022-03-15 00:00:00+05:30,934.55,940.7,914.05,920.65,960407
2022-03-16 00:00:00+05:30,927,944.85,927,938.05,873968
2022-03-17 00:00:00+05:30,945.95,948.35,932.15,939.5,833784
2022-03-21 00:00:00+05:30,940,954.85,936.85,939.25,1014336
2022-03-22 00:00:00+05:30,939,960,926.1,954.7,1178357
2022-03-23 00:00:00+05:30,958,968.75,946.25,962,1470775
2022-03-24 00:00:00+05:30,958.5,974.9,951.15,972.7,1826181
2022-03-25 00:00:00+05:30,974.7,985.5,967.25,975.1,1421106
2022-03-28 00:00:00+05:30,980.4,980.4,951.55,956.65,1383281
2022-03-29 00:00:00+05:30,958.7,989.7,957.95,987.5,1627998
2022-03-30 00:00:00+05:30,996.85,997.1,980,983.9,1026192
2022-03-31 00:00:00+05:30,983.3,989.8,971,974.35,761235
2022-04-01 00:00:00+05:30,975,994.75,974.05,987.2,1154065
2022-04-04 00:00:00+05:30,994.65,1009.15,982.3,1001.95,1261875
2022-04-05 00:00:00+05:30,1007.8,1014.95,999.05,1003.75,1082989
2022-04-06 00:00:00+05:30,1000,1017.55,996.05,1000.55,1205753
2022-04-07 00:00:00+05:30,1001.5,1010,978,981,692829
2022-04-08 00:00:00+05:30,982,1005,982,999.6,676739
