date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,840,850.1,840,844.9,45706
2022-01-04 00:00:00+05:30,849.9,873.55,848,859.35,77187
2022-01-05 00:00:00+05:30,860,882,859.15,875.75,82795
2022-01-06 00:00:00+05:30,872.4,898.7,864,868.95,191097
2022-01-07 00:00:00+05:30,864,885,860.5,873.6,382505
2022-01-10 00:00:00+05:30,878.2,954,878.2,918.7,692169
2022-01-11 00:00:00+05:30,921,935.35,901.6,909.75,206726
2022-01-12 00:00:00+05:30,916,922,907,914.55,124564
2022-01-13 00:00:00+05:30,916,939,910.45,923.1,263864
2022-01-14 00:00:00+05:30,847,896,847,887.1,697750
2022-01-17 00:00:00+05:30,891,895,875.75,882.2,134921
2022-01-18 00:00:00+05:30,880,883.25,861,864.2,131767
2022-01-19 00:00:00+05:30,870,872.95,853,855.65,76984
2022-01-20 00:00:00+05:30,861.75,869,855,857.4,81833
2022-01-21 00:00:00+05:30,857.75,861.3,840,844.7,68029
2022-01-24 00:00:00+05:30,846.95,890,812.15,826.35,96773
2022-01-25 00:00:00+05:30,811,837.8,806.35,820.7,64778
2022-01-27 00:00:00+05:30,824.75,824.75,800,802.9,76075
2022-01-28 00:00:00+05:30,806.95,843.25,806,822.45,58582
2022-01-31 00:00:00+05:30,826.05,858.6,812.1,838.85,127183
2022-02-01 00:00:00+05:30,835,838.9,815,825.15,160209
2022-02-02 00:00:00+05:30,838.7,848.7,828.05,836.1,80335
2022-02-03 00:00:00+05:30,839.9,844,834,836.35,39395
2022-02-04 00:00:00+05:30,842.25,844.45,835.1,836.7,44100
2022-02-07 00:00:00+05:30,836.7,845,829,831.95,39339
2022-02-08 00:00:00+05:30,838,838,816.05,825.7,39073
2022-02-09 00:00:00+05:30,829,831.15,816.05,820.05,31947
2022-02-10 00:00:00+05:30,822,833.75,821.05,824.1,47400
2022-02-11 00:00:00+05:30,828.25,829.95,811.45,819.25,30348
2022-02-14 00:00:00+05:30,815,815.6,786.05,791,48686
2022-02-15 00:00:00+05:30,777,794.5,772.05,791.4,64761
2022-02-16 00:00:00+05:30,799,809.9,790.2,800.15,31686
2022-02-17 00:00:00+05:30,800,806.25,792.15,795.25,27909
2022-02-18 00:00:00+05:30,794.15,800.75,782.3,785,20099
2022-02-21 00:00:00+05:30,782.5,784.6,764.45,766.55,39897
2022-02-22 00:00:00+05:30,740.35,760,732.95,741.35,60284
2022-02-23 00:00:00+05:30,744,754,738.55,741.85,26989
2022-02-24 00:00:00+05:30,729,733.9,695,697.95,99476
2022-02-25 00:00:00+05:30,705,733.45,705,727.45,67800
2022-02-28 00:00:00+05:30,727.4,748,704.4,743.3,85218
2022-03-02 00:00:00+05:30,748,869.95,744,833.15,983578
2022-03-03 00:00:00+05:30,840,892.7,826.2,836.9,632171
2022-03-04 00:00:00+05:30,849,877.9,818,830.65,344413
2022-03-07 00:00:00+05:30,819.5,839,791.5,807,121348
2022-03-08 00:00:00+05:30,824,836.8,798.6,811.6,59661
2022-03-09 00:00:00+05:30,815,847.8,808.6,822.3,262707
2022-03-10 00:00:00+05:30,829,854.9,824.5,827.95,96455
2022-03-11 00:00:00+05:30,828,861,827.95,834.9,263830
2022-03-14 00:00:00+05:30,848.4,848.4,816.15,823.7,51585
2022-03-15 00:00:00+05:30,826,829.55,793,800.05,70212
2022-03-16 00:00:00+05:30,807,816.05,805,809.3,49250
2022-03-17 00:00:00+05:30,826,842,809.1,814.45,127349
2022-03-21 00:00:00+05:30,825,843.45,816.15,828.8,114112
2022-03-22 00:00:00+05:30,820.2,842.75,820.2,827.4,87620
2022-03-23 00:00:00+05:30,835.4,838.8,814,820.45,107317
2022-03-24 00:00:00+05:30,815.1,833.9,815.1,819.65,98365
2022-03-25 00:00:00+05:30,816.25,827.7,805,807.45,92246
2022-03-28 00:00:00+05:30,807,808.45,781.4,784.25,94605
2022-03-29 00:00:00+05:30,784.25,792.35,774.4,781,120758
2022-03-30 00:00:00+05:30,788,798.7,776.45,782.5,123096
2022-03-31 00:00:00+05:30,785,794,764,771.45,106488
2022-04-01 00:00:00+05:30,784.6,797.55,776.1,796.55,91868
2022-04-04 00:00:00+05:30,809.9,834,807.05,829.6,163249
2022-04-05 00:00:00+05:30,824.1,849.6,824.1,834.25,143245
2022-04-06 00:00:00+05:30,835,857.25,825.05,840.2,294933
2022-04-07 00:00:00+05:30,843,854.9,825.25,829.7,136957
2022-04-08 00:00:00+05:30,834.9,884.7,830.1,875.2,692802
