date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,493.5,500.85,492,497.6,32748423
2022-01-04 00:00:00+05:30,496.8,499,484.05,489.6,24100985
2022-01-05 00:00:00+05:30,486.95,492.75,483.55,489.75,15420105
2022-01-06 00:00:00+05:30,481.5,492.95,477.1,488.85,16563230
2022-01-07 00:00:00+05:30,490.05,495.5,483.75,490.6,15532165
2022-01-10 00:00:00+05:30,493.1,504.9,491.3,503.7,25193771
2022-01-11 00:00:00+05:30,503,507.9,498.15,501.3,16269193
2022-01-12 00:00:00+05:30,505.85,511.85,503.5,507.25,16255334
2022-01-13 00:00:00+05:30,504,513.8,494.8,511.95,27572553
2022-01-14 00:00:00+05:30,509,515.4,505.65,509.9,12655602
2022-01-17 00:00:00+05:30,514.8,526.9,512,525,27942414
2022-01-18 00:00:00+05:30,527.9,528.5,507.15,510.8,19353195
2022-01-19 00:00:00+05:30,510,522.2,504.8,520.85,21799071
2022-01-20 00:00:00+05:30,519.95,523.2,512,515.7,18364451
2022-01-21 00:00:00+05:30,510.4,513.85,494.25,501.85,17946821
2022-01-24 00:00:00+05:30,499.7,504.3,473.35,478.45,25228959
2022-01-25 00:00:00+05:30,473.8,492.5,467.65,490.55,22565698
2022-01-27 00:00:00+05:30,480.75,502.7,476.6,494.4,26676094
2022-01-28 00:00:00+05:30,500.5,509.35,495.3,497.3,21784640
2022-01-31 00:00:00+05:30,505,520,498.2,517.75,27306578
2022-02-01 00:00:00+05:30,508,514.75,493,504.3,48030231
2022-02-02 00:00:00+05:30,508.6,514.45,505.15,506.4,14311040
2022-02-03 00:00:00+05:30,509.1,514.3,502.85,504.5,15249245
2022-02-04 00:00:00+05:30,503.8,507.8,499,500.6,12663199
2022-02-07 00:00:00+05:30,502.9,504.35,492.5,494.6,13392910
2022-02-08 00:00:00+05:30,498,498.5,479.15,492.75,23378623
2022-02-09 00:00:00+05:30,496.5,503.7,494.7,501.25,12430730
2022-02-10 00:00:00+05:30,506.7,510.5,504.2,507.45,14537945
2022-02-11 00:00:00+05:30,503.25,507,497,498.85,13534899
2022-02-14 00:00:00+05:30,487,488.5,468.8,471.45,22157389
2022-02-15 00:00:00+05:30,476.15,505.5,467.3,504,30623088
2022-02-16 00:00:00+05:30,504,507.9,496.6,498.45,20176993
2022-02-17 00:00:00+05:30,505.9,511.5,498.3,499.95,27943077
2022-02-18 00:00:00+05:30,498,502.65,491.5,493.15,15476803
2022-02-21 00:00:00+05:30,490.15,500.4,486.1,494.45,22592161
2022-02-22 00:00:00+05:30,480.55,486.3,471.45,478.25,27957544
2022-02-23 00:00:00+05:30,481.75,485.4,475.3,477,17703998
2022-02-24 00:00:00+05:30,455.95,461.55,405.45,427.95,57265685
2022-02-25 00:00:00+05:30,444.85,465.7,441.6,459.75,48876182
2022-02-28 00:00:00+05:30,445,457.35,440.45,454.05,34475468
2022-03-02 00:00:00+05:30,452.95,454.25,444.55,447.6,25791134
2022-03-03 00:00:00+05:30,458.5,458.5,435,437.1,29599672
2022-03-04 00:00:00+05:30,431.85,431.85,414.75,417.25,38765185
2022-03-07 00:00:00+05:30,401.75,401.75,387.5,394,44836205
2022-03-08 00:00:00+05:30,390.5,395.45,376.35,391.75,55543383
2022-03-09 00:00:00+05:30,394.95,409.25,389.5,405.9,48376222
2022-03-10 00:00:00+05:30,427,434.95,414,419.6,59776817
2022-03-11 00:00:00+05:30,413.6,421.15,407.4,418.15,51510243
2022-03-14 00:00:00+05:30,418.75,419,404,411.7,40721277
2022-03-15 00:00:00+05:30,409.85,424.2,408,413.65,47706136
2022-03-16 00:00:00+05:30,427.05,428.55,420.7,424.9,27191170
2022-03-17 00:00:00+05:30,432,435.7,429.55,433.8,26704541
2022-03-21 00:00:00+05:30,435.5,436.3,427.1,427.95,18270995
2022-03-22 00:00:00+05:30,428.1,441.45,421.2,440.35,30441493
2022-03-23 00:00:00+05:30,443.5,447,434.6,435.8,25466395
2022-03-24 00:00:00+05:30,430,435.4,427.55,433.2,17109723
2022-03-25 00:00:00+05:30,437,437,427.65,432.1,15104414
2022-03-28 00:00:00+05:30,432,434.95,426.5,432.7,16757901
2022-03-29 00:00:00+05:30,436,439.35,431.4,433.7,18710736
2022-03-30 00:00:00+05:30,438.45,442.5,434.25,435.65,18149488
2022-03-31 00:00:00+05:30,436,438.3,432.6,433.75,14248045
2022-04-01 00:00:00+05:30,434,442.25,430.85,441.15,19380324
2022-04-04 00:00:00+05:30,444.4,449.5,441.3,446.75,18657201
2022-04-05 00:00:00+05:30,450,461.9,448.3,458.05,28530470
2022-04-06 00:00:00+05:30,455.9,462.7,452.6,456.15,24974477
2022-04-07 00:00:00+05:30,456.5,459.1,448.5,449.5,19950241
2022-04-08 00:00:00+05:30,450,456.25,449.7,452.05,16315704
