date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,425,435.25,421.5,426.95,193815
2022-01-04 00:00:00+05:30,432,432.95,423,425,163726
2022-01-05 00:00:00+05:30,425,435.95,419.45,430.15,265863
2022-01-06 00:00:00+05:30,426,431.25,423.55,425.95,123332
2022-01-07 00:00:00+05:30,431,436.75,424,425.65,150524
2022-01-10 00:00:00+05:30,430,446.9,428,446.9,134099
2022-01-11 00:00:00+05:30,469.2,469.2,469.2,469.2,81260
2022-01-12 00:00:00+05:30,492.65,492.65,461.25,491,892142
2022-01-13 00:00:00+05:30,499,515.55,482,515.55,919557
2022-01-14 00:00:00+05:30,541.3,541.3,503.1,509.15,1858320
2022-01-17 00:00:00+05:30,514,518.3,483.7,483.7,562883
2022-01-18 00:00:00+05:30,478,489.7,459.55,459.55,804324
2022-01-19 00:00:00+05:30,453,464.8,436.6,440.95,767091
2022-01-20 00:00:00+05:30,418.95,418.95,418.95,418.95,177644
2022-01-21 00:00:00+05:30,407,439.85,402.4,415.75,798566
2022-01-24 00:00:00+05:30,415.75,424.1,395,395,496446
2022-01-25 00:00:00+05:30,384,414.75,378.4,412.5,689890
2022-01-27 00:00:00+05:30,402,419,400,407.65,356253
2022-01-28 00:00:00+05:30,414.75,426,405.35,410,246189
2022-01-31 00:00:00+05:30,421.3,424.65,408.1,410.8,183203
2022-02-01 00:00:00+05:30,416.95,429.7,412.5,425.85,372919
2022-02-02 00:00:00+05:30,435,447.1,428.25,447.1,273431
2022-02-03 00:00:00+05:30,469.45,469.45,456,469.3,615068
2022-02-04 00:00:00+05:30,469.3,492.75,460,482.6,703093
2022-02-07 00:00:00+05:30,480,481.1,458.5,458.5,305507
2022-02-08 00:00:00+05:30,451,458.5,435.6,435.65,307481
2022-02-09 00:00:00+05:30,443,447,426,442.95,210244
2022-02-10 00:00:00+05:30,446.4,446.4,428.3,437.45,185802
2022-02-11 00:00:00+05:30,431,448.25,428,436.4,219067
2022-02-14 00:00:00+05:30,424.05,433,414.6,415.3,483418
2022-02-15 00:00:00+05:30,417.6,436.05,411.1,436.05,268006
2022-02-16 00:00:00+05:30,444.8,451.3,432.25,438.3,170190
2022-02-17 00:00:00+05:30,438,451,436.55,442.55,267083
2022-02-18 00:00:00+05:30,436,449.95,436,443.75,138633
2022-02-21 00:00:00+05:30,433.6,444,421.6,421.95,233020
2022-02-22 00:00:00+05:30,402.85,413.7,401,408.4,285857
2022-02-23 00:00:00+05:30,414,428.8,414,419.4,240338
2022-02-24 00:00:00+05:30,400.05,405.5,398.45,398.45,341302
2022-02-25 00:00:00+05:30,402,418,402,407.95,175947
2022-02-28 00:00:00+05:30,405,416,388.65,407.4,192946
2022-03-02 00:00:00+05:30,404.5,416,403.55,408.4,119888
2022-03-03 00:00:00+05:30,415,415.5,403.7,409.7,95223
2022-03-04 00:00:00+05:30,405,411.55,395.5,399.5,138636
2022-03-07 00:00:00+05:30,390,393.35,379.55,379.55,410299
2022-03-08 00:00:00+05:30,370,371.8,360.6,366.4,715397
2022-03-09 00:00:00+05:30,378,384.7,370,384.7,177937
2022-03-10 00:00:00+05:30,395,403.9,388,402.8,367711
2022-03-11 00:00:00+05:30,400,409.75,392.1,394.45,182793
2022-03-14 00:00:00+05:30,402,402.45,387.5,390,289305
2022-03-15 00:00:00+05:30,393.9,394.7,377.1,381.15,312668
2022-03-16 00:00:00+05:30,388.4,395,383.25,392.35,134203
2022-03-17 00:00:00+05:30,403,411.95,394.9,399,424972
2022-03-21 00:00:00+05:30,404.55,404.55,390.65,394.75,151818
2022-03-22 00:00:00+05:30,401.8,401.8,385.55,389.35,207618
2022-03-23 00:00:00+05:30,390.25,395,378.55,383.6,499056
2022-03-24 00:00:00+05:30,380,392.65,377.05,381.2,283642
2022-03-25 00:00:00+05:30,385.8,399.95,379.45,384.05,305245
2022-03-28 00:00:00+05:30,392,394.85,379.55,380.75,271762
2022-03-29 00:00:00+05:30,383,394,377.2,387.1,361800
2022-03-30 00:00:00+05:30,394,406.45,388.85,406.45,238711
2022-03-31 00:00:00+05:30,426.75,426.75,426.75,426.75,100322
2022-04-01 00:00:00+05:30,448.05,448.05,448.05,448.05,66333
2022-04-04 00:00:00+05:30,470.45,470.45,470.45,470.45,110532
2022-04-05 00:00:00+05:30,493.95,493.95,475.7,493.95,884710
2022-04-06 00:00:00+05:30,518.45,518.6,508.8,518.6,457740
2022-04-07 00:00:00+05:30,543.9,544.5,515.05,543.75,3792660
2022-04-08 00:00:00+05:30,557.45,570.9,550.1,560.75,2581769
