date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,52,55.3,50.6,55.3,121516
2022-01-04 00:00:00+05:30,58.9,58.9,52,52.55,186719
2022-01-05 00:00:00+05:30,53,53.45,51.2,52.15,42011
2022-01-06 00:00:00+05:30,52.1,54.1,51,53.1,54330
2022-01-07 00:00:00+05:30,53.1,54.7,52.7,53.25,43320
2022-01-10 00:00:00+05:30,55.75,58.55,53.9,58.55,178043
2022-01-11 00:00:00+05:30,59,59,55.5,56.05,163779
2022-01-12 00:00:00+05:30,56.05,57.4,54.65,55.1,43471
2022-01-13 00:00:00+05:30,56.2,56.2,53.3,53.95,44525
2022-01-14 00:00:00+05:30,54.85,58.45,53.5,56.2,110847
2022-01-17 00:00:00+05:30,56.9,57.4,55.1,55.85,77631
2022-01-18 00:00:00+05:30,55.1,56.85,54.5,54.85,64021
2022-01-19 00:00:00+05:30,55.3,55.65,54.3,54.85,31508
2022-01-20 00:00:00+05:30,55.35,56.45,54.15,55.35,43362
2022-01-21 00:00:00+05:30,54,56,52.75,53.55,61336
2022-01-24 00:00:00+05:30,53,57,49,51.75,152786
2022-01-25 00:00:00+05:30,50.5,53.4,49.4,53.25,29508
2022-01-27 00:00:00+05:30,54.3,54.35,51,53.15,38679
2022-01-28 00:00:00+05:30,53.45,55,52.1,53.1,39839
2022-01-31 00:00:00+05:30,56.5,56.5,52.5,53.1,26372
2022-02-01 00:00:00+05:30,54,54.9,51.8,53.5,36238
2022-02-02 00:00:00+05:30,53.2,56.5,53.2,54.95,52432
2022-02-03 00:00:00+05:30,53.05,56.8,53.05,55.6,50666
2022-02-04 00:00:00+05:30,57.6,57.6,55.05,55.9,31730
2022-02-07 00:00:00+05:30,56.2,57,55.5,55.95,40125
2022-02-08 00:00:00+05:30,56.8,58.65,55.25,57.9,187040
2022-02-09 00:00:00+05:30,59.45,60,53.3,54.5,84942
2022-02-10 00:00:00+05:30,54,59.5,54,55.9,120014
2022-02-11 00:00:00+05:30,53.6,56.85,53.55,53.8,55243
2022-02-14 00:00:00+05:30,51,53.8,49,49.55,46567
2022-02-15 00:00:00+05:30,50.1,52.8,47.75,50.35,84551
2022-02-16 00:00:00+05:30,52,52.9,50.55,51.25,30153
2022-02-17 00:00:00+05:30,52.65,59.8,50.75,55.6,269223
2022-02-18 00:00:00+05:30,56,56,53.25,53.6,47055
2022-02-21 00:00:00+05:30,50.6,54,50.5,50.85,53184
2022-02-22 00:00:00+05:30,47.55,49.8,47.55,48.45,60080
2022-02-23 00:00:00+05:30,48.5,51.8,48.5,50.5,26879
2022-02-24 00:00:00+05:30,50,50,42.05,42.9,105429
2022-02-25 00:00:00+05:30,44.75,48.1,43.85,46.65,58204
2022-02-28 00:00:00+05:30,46.3,47.85,45.2,47.45,39146
2022-03-02 00:00:00+05:30,47.45,48.35,46.35,47.25,17195
2022-03-03 00:00:00+05:30,47.2,49.65,47.2,48.65,26718
2022-03-04 00:00:00+05:30,48.6,48.95,46.75,47.95,23423
2022-03-07 00:00:00+05:30,46,47.75,45.2,46.45,20202
2022-03-08 00:00:00+05:30,48.95,49.35,45.05,47.3,16987
2022-03-09 00:00:00+05:30,48.05,49.15,47.45,48.1,25580
2022-03-10 00:00:00+05:30,48.15,51.05,48,48.25,27739
2022-03-11 00:00:00+05:30,49.25,49.45,47.35,48.05,16523
2022-03-14 00:00:00+05:30,48.05,49.05,45.7,47.55,25760
2022-03-15 00:00:00+05:30,48.65,48.9,46.5,46.75,12961
2022-03-16 00:00:00+05:30,48.5,48.5,46.2,47.15,12286
2022-03-17 00:00:00+05:30,47.1,49.4,47.1,48.8,41032
2022-03-21 00:00:00+05:30,47.2,49.75,47.2,47.95,19550
2022-03-22 00:00:00+05:30,46.7,48.1,46.15,47.5,33818
2022-03-23 00:00:00+05:30,47,47.95,46.25,47,15007
2022-03-24 00:00:00+05:30,47.95,48.4,46.2,46.8,21487
2022-03-25 00:00:00+05:30,47.5,47.65,45.3,45.85,48225
2022-03-28 00:00:00+05:30,46.4,46.95,43.9,45.25,35941
2022-03-29 00:00:00+05:30,46,46.2,42.65,44,40226
2022-03-30 00:00:00+05:30,44.55,45.6,38.3,42.25,62072
2022-03-31 00:00:00+05:30,43.9,47.15,42.6,44.6,121032
2022-04-01 00:00:00+05:30,46.7,48.6,45.25,48.05,62590
2022-04-04 00:00:00+05:30,49.85,49.85,47.3,48.55,29945
2022-04-05 00:00:00+05:30,49.7,52,49.2,49.6,45143
2022-04-06 00:00:00+05:30,50.9,50.9,49,49.9,38502
2022-04-07 00:00:00+05:30,50,50.75,47.5,48.1,59869
2022-04-08 00:00:00+05:30,47.5,50,47.5,48.35,28457
