date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,76.6,78,75.45,76.8,1070527
2022-01-04 00:00:00+05:30,77,78.1,74.6,77,1412537
2022-01-05 00:00:00+05:30,78.45,78.45,76,76.3,571150
2022-01-06 00:00:00+05:30,75.4,79.15,75.2,77.35,914888
2022-01-07 00:00:00+05:30,77.7,79.3,76.75,77.65,1419968
2022-01-10 00:00:00+05:30,78,80.75,77.15,77.85,1374368
2022-01-11 00:00:00+05:30,78.15,79,76.95,77.7,975619
2022-01-12 00:00:00+05:30,77.8,79.7,77.4,77.9,1085489
2022-01-13 00:00:00+05:30,78,79.25,76.8,77.6,800525
2022-01-14 00:00:00+05:30,77.35,78.8,76.2,77.8,681738
2022-01-17 00:00:00+05:30,78.9,85.5,77.8,84.25,3918299
2022-01-18 00:00:00+05:30,85.25,86.95,81.55,82.3,2257620
2022-01-19 00:00:00+05:30,81.95,84,78.2,83.65,1059616
2022-01-20 00:00:00+05:30,84.2,91.75,83.2,88.7,7563487
2022-01-21 00:00:00+05:30,88,94,84.6,86.2,6025875
2022-01-24 00:00:00+05:30,87.05,89.9,80.2,82.8,4576422
2022-01-25 00:00:00+05:30,82.7,88.8,79.45,87.55,2533248
2022-01-27 00:00:00+05:30,85.4,88.6,84.35,87.65,1997780
2022-01-28 00:00:00+05:30,88.4,93.5,86.05,86.75,3828703
2022-01-31 00:00:00+05:30,87.8,88.9,83.6,84.7,1717901
2022-02-01 00:00:00+05:30,85.3,85.7,81.6,83.1,1819536
2022-02-02 00:00:00+05:30,83.8,85.6,83.05,83.35,1395717
2022-02-03 00:00:00+05:30,83.85,84,81.35,82.55,1212485
2022-02-04 00:00:00+05:30,82.8,87.65,82.55,84.95,1809372
2022-02-07 00:00:00+05:30,79.75,80.4,75,79,5301571
2022-02-08 00:00:00+05:30,79.65,81.35,77.25,77.75,2863541
2022-02-09 00:00:00+05:30,78.3,80.7,77.55,79.55,1344491
2022-02-10 00:00:00+05:30,79.55,79.75,75.25,77.1,804497
2022-02-11 00:00:00+05:30,76.75,77.3,73.25,74.2,921390
2022-02-14 00:00:00+05:30,73.9,77,72.25,74.95,2034254
2022-02-15 00:00:00+05:30,74.95,76.35,71.25,75,1288286
2022-02-16 00:00:00+05:30,75.6,80.55,74.8,77.7,1917563
2022-02-17 00:00:00+05:30,77.7,78.85,75.95,76.3,557982
2022-02-18 00:00:00+05:30,76,77.2,74.5,74.95,556703
2022-02-21 00:00:00+05:30,75.65,75.65,72,72.4,538262
2022-02-22 00:00:00+05:30,71.05,71.9,69.7,70.9,689825
2022-02-23 00:00:00+05:30,71.05,73,71.05,71.65,334149
2022-02-24 00:00:00+05:30,68,70.55,63,64.65,1360704
2022-02-25 00:00:00+05:30,66.8,69.45,66.8,67.85,752739
2022-02-28 00:00:00+05:30,68.25,69.2,67.2,68.35,463511
2022-03-02 00:00:00+05:30,68.8,71.35,66.75,67.45,753103
2022-03-03 00:00:00+05:30,68.4,75.5,68.05,73.45,2055094
2022-03-04 00:00:00+05:30,72.95,76.2,71,72.45,1158041
2022-03-07 00:00:00+05:30,70,70.95,68,68.6,536404
2022-03-08 00:00:00+05:30,66.55,71.25,66.55,70.35,575748
2022-03-09 00:00:00+05:30,69.9,72.9,69.9,72.35,679579
2022-03-10 00:00:00+05:30,74.1,75.35,72.5,72.9,741614
2022-03-11 00:00:00+05:30,72.9,73.9,72,72.25,419299
2022-03-14 00:00:00+05:30,72.45,73.15,71.3,71.75,443546
2022-03-15 00:00:00+05:30,72,74.5,70.1,71.25,942521
2022-03-16 00:00:00+05:30,73,73.1,70.55,70.95,495692
2022-03-17 00:00:00+05:30,72,73.2,71.4,72,801698
2022-03-21 00:00:00+05:30,73.5,74.5,72,72.25,642904
2022-03-22 00:00:00+05:30,73,73,70.5,70.9,578427
2022-03-23 00:00:00+05:30,71.7,72,69.75,70,682613
2022-03-24 00:00:00+05:30,70,71,68.75,69.75,1216876
2022-03-25 00:00:00+05:30,70.75,71,69.15,69.55,921762
2022-03-28 00:00:00+05:30,69.55,70,65.9,66.25,1296683
2022-03-29 00:00:00+05:30,67.05,67.55,64.9,65.3,1306807
2022-03-30 00:00:00+05:30,66.6,66.65,65.25,65.65,1066323
2022-03-31 00:00:00+05:30,65.65,65.65,63.6,63.9,1140581
2022-04-01 00:00:00+05:30,63.9,71.2,63.85,69.75,2183091
2022-04-04 00:00:00+05:30,69.1,72.7,69.1,70.15,1419204
2022-04-05 00:00:00+05:30,70.55,72.25,70.5,71.35,1293616
2022-04-06 00:00:00+05:30,70.8,72.5,69.65,71.5,1558373
2022-04-07 00:00:00+05:30,73.4,82.2,73,79.1,8113849
2022-04-08 00:00:00+05:30,79.6,84.1,79.1,83.05,3338592
