date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,169.9,181.6,168.75,181.6,1036366
2022-01-04 00:00:00+05:30,194,194.8,174.1,177,1655857
2022-01-05 00:00:00+05:30,180.9,183,166.65,176.35,764003
2022-01-06 00:00:00+05:30,175.5,193.95,172.25,193.95,981727
2022-01-07 00:00:00+05:30,199.95,213.3,197.05,206.2,3454367
2022-01-10 00:00:00+05:30,208.5,218.5,207.2,211.7,1354524
2022-01-11 00:00:00+05:30,213.5,217.7,195.2,198.15,917792
2022-01-12 00:00:00+05:30,199.4,204.9,185,187.95,856436
2022-01-13 00:00:00+05:30,189.75,206.7,189.45,206.65,1300007
2022-01-14 00:00:00+05:30,207.55,214.6,201.35,203.05,807857
2022-01-17 00:00:00+05:30,203.2,208.15,201,204.85,437051
2022-01-18 00:00:00+05:30,201.4,206.9,191,192.65,480017
2022-01-19 00:00:00+05:30,191,196.5,188.15,191.1,358264
2022-01-20 00:00:00+05:30,191.1,203.8,190.4,195.95,475781
2022-01-21 00:00:00+05:30,194.8,198.5,187,189.7,274811
2022-01-24 00:00:00+05:30,188.95,189.5,170.75,171.2,571184
2022-01-25 00:00:00+05:30,162,182.4,157.35,177.1,423127
2022-01-27 00:00:00+05:30,175,180.95,172.25,174.85,266616
2022-01-28 00:00:00+05:30,176.25,182.9,174.25,175.9,212256
2022-01-31 00:00:00+05:30,182.4,182.4,170.5,173,260771
2022-02-01 00:00:00+05:30,175,175,170.25,172.85,157998
2022-02-02 00:00:00+05:30,174.9,190.1,174.9,190.1,384793
2022-02-03 00:00:00+05:30,194,194,182.5,184.25,354078
2022-02-04 00:00:00+05:30,186,187,181.05,182.5,178519
2022-02-07 00:00:00+05:30,183.15,188.7,178.3,180.2,187925
2022-02-08 00:00:00+05:30,180,182.35,170.45,172.95,313541
2022-02-09 00:00:00+05:30,174.8,179.4,167.5,169.5,216365
2022-02-10 00:00:00+05:30,170.5,176.65,162.95,174.95,295550
2022-02-11 00:00:00+05:30,158.5,165.95,155,156.75,956706
2022-02-14 00:00:00+05:30,147,153.05,140,144.85,547978
2022-02-15 00:00:00+05:30,145.5,151.95,140.5,150.5,391011
2022-02-16 00:00:00+05:30,152.5,157.5,146.55,150.25,276223
2022-02-17 00:00:00+05:30,151.95,154,146.05,147.6,136807
2022-02-18 00:00:00+05:30,143.1,154,143.1,147.45,234633
2022-02-21 00:00:00+05:30,143.15,147.4,133.25,135.2,284239
2022-02-22 00:00:00+05:30,126.5,130.85,123,127.5,274884
2022-02-23 00:00:00+05:30,129.85,149.5,129.85,137.85,620308
2022-02-24 00:00:00+05:30,128.05,138,120.05,122.15,687245
2022-02-25 00:00:00+05:30,130.5,137.95,130.5,135.45,394749
2022-02-28 00:00:00+05:30,132.75,139.65,130,137.7,300031
2022-03-02 00:00:00+05:30,135,139.75,132,134.85,200872
2022-03-03 00:00:00+05:30,136.05,142.4,136.05,136.85,292004
2022-03-04 00:00:00+05:30,135,137.7,131,133.25,246626
2022-03-07 00:00:00+05:30,133.2,135,129.1,132.7,209981
2022-03-08 00:00:00+05:30,132.5,139.9,132.5,136.8,254239
2022-03-09 00:00:00+05:30,138.1,142.9,138.1,141.35,238213
2022-03-10 00:00:00+05:30,146,155,141.35,142.4,183387
2022-03-11 00:00:00+05:30,141.9,145.05,136.05,139.1,210761
2022-03-14 00:00:00+05:30,140,141.9,137.5,139.8,143093
2022-03-15 00:00:00+05:30,142.75,144.35,137.65,138.6,163835
2022-03-16 00:00:00+05:30,143,143.5,139.9,140.6,81925
2022-03-17 00:00:00+05:30,143,146.65,142,142.85,202669
2022-03-21 00:00:00+05:30,145,149.55,142.65,143.8,165062
2022-03-22 00:00:00+05:30,144,148.1,141.75,146.2,191175
2022-03-23 00:00:00+05:30,147.3,152.5,144,144.55,261255
2022-03-24 00:00:00+05:30,143.9,145.85,140.65,141.45,138724
2022-03-25 00:00:00+05:30,141.6,143.05,137.25,138.1,157679
2022-03-28 00:00:00+05:30,139.25,139.45,133,133.65,188944
2022-03-29 00:00:00+05:30,134.05,136.9,130.5,131.6,167824
2022-03-30 00:00:00+05:30,135.05,138.45,133.05,136.2,179755
2022-03-31 00:00:00+05:30,135.5,139.35,133.65,134.5,132507
2022-04-01 00:00:00+05:30,133.5,144.3,133.5,142.8,285703
2022-04-04 00:00:00+05:30,144.9,147.7,143.85,146.1,175093
2022-04-05 00:00:00+05:30,147,154.2,144.55,148.4,446367
2022-04-06 00:00:00+05:30,148.45,154,147.4,153.2,230131
2022-04-07 00:00:00+05:30,153.2,160.65,153,154.5,491203
2022-04-08 00:00:00+05:30,155.85,168,153.65,164.15,444096
