date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,45.15,46.9,45,46.25,10104239
2022-01-04 00:00:00+05:30,46.5,47.7,46.1,46.5,9741160
2022-01-05 00:00:00+05:30,46.25,46.45,45.15,45.6,7400432
2022-01-06 00:00:00+05:30,45,46.7,45,46.25,6641285
2022-01-07 00:00:00+05:30,46.7,47.65,45.45,46.15,10850808
2022-01-10 00:00:00+05:30,46.65,47.1,46.3,46.65,4890584
2022-01-11 00:00:00+05:30,46.85,47.1,45.6,45.9,4509969
2022-01-12 00:00:00+05:30,46.35,46.7,45.55,45.9,3806327
2022-01-13 00:00:00+05:30,45.9,48.7,45.85,47.35,16980867
2022-01-14 00:00:00+05:30,47.3,48.5,47.05,48.2,7913614
2022-01-17 00:00:00+05:30,48.4,49.4,48.4,48.75,9171951
2022-01-18 00:00:00+05:30,49.1,50.85,46.15,49.15,35433485
2022-01-19 00:00:00+05:30,50,55.15,50,52,60386810
2022-01-20 00:00:00+05:30,52.95,55.65,52.8,55.05,32705973
2022-01-21 00:00:00+05:30,55.15,56.45,52.5,52.95,20782702
2022-01-24 00:00:00+05:30,53.25,54.2,48.9,50.2,21100211
2022-01-25 00:00:00+05:30,49.35,51.15,47.95,48.75,17157420
2022-01-27 00:00:00+05:30,52.1,58.5,52.1,58.5,36203891
2022-01-28 00:00:00+05:30,62,64.95,56.65,58.95,56452597
2022-01-31 00:00:00+05:30,58.9,60.2,56.8,59.1,21200372
2022-02-01 00:00:00+05:30,59.25,59.65,56.1,56.75,11648848
2022-02-02 00:00:00+05:30,57.15,63.4,56.9,60.95,32743884
2022-02-03 00:00:00+05:30,61.1,67.45,60.3,65.05,48124717
2022-02-04 00:00:00+05:30,65.65,67.85,63.55,65,23477902
2022-02-07 00:00:00+05:30,65,65.7,62.1,63.55,8741118
2022-02-08 00:00:00+05:30,63.95,64.2,59.2,62.25,9686312
2022-02-09 00:00:00+05:30,63.05,70,63.05,69.45,42392239
2022-02-10 00:00:00+05:30,70,76.9,70,74.4,50262757
2022-02-11 00:00:00+05:30,73.65,76.25,70.6,71.75,25140455
2022-02-14 00:00:00+05:30,70.35,71.15,63.55,64.6,18130833
2022-02-15 00:00:00+05:30,66.9,70,62.65,69.4,25423696
2022-02-16 00:00:00+05:30,70.4,72.2,65.8,66.75,18679878
2022-02-17 00:00:00+05:30,67.8,68.25,65.3,65.65,8780794
2022-02-18 00:00:00+05:30,66.15,67.9,65.1,66,10134277
2022-02-21 00:00:00+05:30,65.5,65.7,61,61.6,10163874
2022-02-22 00:00:00+05:30,58.2,61.6,57.45,58.55,13758223
2022-02-23 00:00:00+05:30,59.45,61.85,59.2,61.2,10565783
2022-02-24 00:00:00+05:30,57,59,53.5,54.3,14417097
2022-02-25 00:00:00+05:30,57.8,60.1,57.25,59.45,11640530
2022-02-28 00:00:00+05:30,57.05,62.85,57.05,61.35,12436633
2022-03-02 00:00:00+05:30,60,62.65,60,61.85,11258037
2022-03-03 00:00:00+05:30,63.4,63.7,61.2,62.2,12285064
2022-03-04 00:00:00+05:30,61.4,62.7,59.2,60.7,11621924
2022-03-07 00:00:00+05:30,59,59.75,56.65,57.95,13498107
2022-03-08 00:00:00+05:30,58.55,61.2,58.25,60.8,11780743
2022-03-09 00:00:00+05:30,61.4,66.8,61.25,65.8,26877955
2022-03-10 00:00:00+05:30,67.8,68.45,64.7,65.75,16443497
2022-03-11 00:00:00+05:30,65,68.2,64.85,65.7,14783419
2022-03-14 00:00:00+05:30,66,66.45,64.75,66.1,7605628
2022-03-15 00:00:00+05:30,66.15,69.35,65.4,65.9,18375406
2022-03-16 00:00:00+05:30,67.6,68,66.25,66.45,9200769
2022-03-17 00:00:00+05:30,67.35,69.7,66.1,68.3,17629096
2022-03-21 00:00:00+05:30,69.15,71.2,68.2,68.6,15240961
2022-03-22 00:00:00+05:30,69.1,73.9,68.5,73,37855203
2022-03-23 00:00:00+05:30,74.2,75,70.05,70.7,25570763
2022-03-24 00:00:00+05:30,70.95,77.4,70.25,74.1,60631651
2022-03-25 00:00:00+05:30,74.45,75.45,72.35,72.9,17315063
2022-03-28 00:00:00+05:30,73.5,74.95,72.15,72.8,16317072
2022-03-29 00:00:00+05:30,73.35,73.75,69.45,71.4,16464222
2022-03-30 00:00:00+05:30,73.85,78.25,72.85,73.4,47122901
2022-03-31 00:00:00+05:30,73.4,74.8,73,74.05,11721007
2022-04-01 00:00:00+05:30,74.65,76.4,74.25,75.1,12985992
2022-04-04 00:00:00+05:30,75.75,81.2,75,79.95,41167672
2022-04-05 00:00:00+05:30,80.7,82.6,78.6,79.35,35843505
2022-04-06 00:00:00+05:30,79.2,82.1,78.3,80,18311486
2022-04-07 00:00:00+05:30,80.45,82.15,76.5,77.15,21135001
2022-04-08 00:00:00+05:30,77.5,78,75.3,75.55,13509679
