date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,199,199,195.05,197.25,86153
2022-01-04 00:00:00+05:30,198.3,204.7,196.15,200.6,218681
2022-01-05 00:00:00+05:30,202.8,205.6,200,201.9,395953
2022-01-06 00:00:00+05:30,201,202.5,198,200.7,73662
2022-01-07 00:00:00+05:30,203.8,220.75,201,202.65,371847
2022-01-10 00:00:00+05:30,205.85,205.85,200.3,204.2,120109
2022-01-11 00:00:00+05:30,214.9,214.9,206.5,209.25,273115
2022-01-12 00:00:00+05:30,211.9,215,211.55,212.75,411887
2022-01-13 00:00:00+05:30,216,218.9,209.55,212.75,461496
2022-01-14 00:00:00+05:30,215,219.05,213.65,218.9,169648
2022-01-17 00:00:00+05:30,222,230.35,215,217.25,724079
2022-01-18 00:00:00+05:30,215,218.95,215,215.8,696700
2022-01-19 00:00:00+05:30,219.9,223,216,219.85,725487
2022-01-20 00:00:00+05:30,216.6,222,216.6,221.85,117077
2022-01-21 00:00:00+05:30,219.6,224.7,217.95,221.2,179110
2022-01-24 00:00:00+05:30,221,222.95,213.25,216.05,527718
2022-01-25 00:00:00+05:30,219.8,219.8,210.9,217.9,141368
2022-01-27 00:00:00+05:30,217.9,224,216.75,223.85,178234
2022-01-28 00:00:00+05:30,225,227.4,221,221.95,128265
2022-01-31 00:00:00+05:30,222,226.7,219,221.3,94526
2022-02-01 00:00:00+05:30,223.8,223.9,213.2,218.5,120772
2022-02-02 00:00:00+05:30,221.7,225.25,220.55,222.95,71083
2022-02-03 00:00:00+05:30,222.95,224,220,223.65,64986
2022-02-04 00:00:00+05:30,223.5,223.5,220,221.55,33871
2022-02-07 00:00:00+05:30,221.55,225.55,218,219.2,85338
2022-02-08 00:00:00+05:30,224,224,215.3,217.2,62195
2022-02-09 00:00:00+05:30,220.1,220.1,213.3,214.5,99318
2022-02-10 00:00:00+05:30,215,215,207,210.4,212193
2022-02-11 00:00:00+05:30,209.9,210,186,188.35,488096
2022-02-14 00:00:00+05:30,181.1,198.9,176.35,184.2,307774
2022-02-15 00:00:00+05:30,190,197.9,181.1,194.9,246696
2022-02-16 00:00:00+05:30,198.8,199.5,192.1,194.15,110766
2022-02-17 00:00:00+05:30,196.9,209.95,195,208.25,219506
2022-02-18 00:00:00+05:30,206,209.85,201,202.05,87916
2022-02-21 00:00:00+05:30,199,201.85,192.2,194.8,102030
2022-02-22 00:00:00+05:30,181.8,191.95,181.8,188.35,285661
2022-02-23 00:00:00+05:30,188.35,195,185.95,189.45,98934
2022-02-24 00:00:00+05:30,185,186,168.25,170.3,274272
2022-02-25 00:00:00+05:30,178,181.85,178,180.3,222890
2022-02-28 00:00:00+05:30,179.75,185,166.35,181.5,230853
2022-03-02 00:00:00+05:30,176.3,183.9,176.25,181.4,74173
2022-03-03 00:00:00+05:30,178.3,181,177.35,178.35,210381
2022-03-04 00:00:00+05:30,173.25,180.2,170.3,173.75,153468
2022-03-07 00:00:00+05:30,164.2,173,164.2,166.8,280786
2022-03-08 00:00:00+05:30,171.95,172.55,165.1,170.55,834190
2022-03-09 00:00:00+05:30,173.5,178.65,170.05,174.45,105933
2022-03-10 00:00:00+05:30,178.8,182.4,173.2,174.4,171956
2022-03-11 00:00:00+05:30,177,178.7,172.25,174.5,107660
2022-03-14 00:00:00+05:30,177.8,177.8,170.7,172,47196
2022-03-15 00:00:00+05:30,173.5,175.15,169,169.85,37008
2022-03-16 00:00:00+05:30,172.8,173.45,169,170.15,48013
2022-03-17 00:00:00+05:30,172.7,174,171,173.6,76522
2022-03-21 00:00:00+05:30,177,191,172.5,182.95,124293
2022-03-22 00:00:00+05:30,183,189.55,182,184.25,68316
2022-03-23 00:00:00+05:30,187.35,187.35,178,179.65,38282
2022-03-24 00:00:00+05:30,183,184.75,177.05,179.15,48727
2022-03-25 00:00:00+05:30,179.15,179.65,175,176.1,21597
2022-03-28 00:00:00+05:30,179.8,179.8,169,171.55,89449
2022-03-29 00:00:00+05:30,171,175.7,160.6,164.9,118601
2022-03-30 00:00:00+05:30,167.85,181,165.2,170,305568
2022-03-31 00:00:00+05:30,172.55,172.55,164.75,166.4,250130
2022-04-01 00:00:00+05:30,169.7,174.55,168.7,170.4,81724
2022-04-04 00:00:00+05:30,176.7,180.55,170,172.65,134060
2022-04-05 00:00:00+05:30,175.25,181.4,172,179.6,149767
2022-04-06 00:00:00+05:30,182.3,187.5,178.2,181.75,114793
2022-04-07 00:00:00+05:30,184.5,185.9,175.55,178.25,103548
2022-04-08 00:00:00+05:30,182,183.75,177.95,182.55,81053
