date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,129,140.05,127.55,135.4,69158
2022-01-04 00:00:00+05:30,138.5,138.5,132.7,133.6,25101
2022-01-05 00:00:00+05:30,134.4,135.35,129.55,131.4,17072
2022-01-06 00:00:00+05:30,130,137.7,125.75,135.9,50434
2022-01-07 00:00:00+05:30,135.9,138.15,133.9,136.05,37251
2022-01-10 00:00:00+05:30,137.8,149.8,137.35,147.7,179024
2022-01-11 00:00:00+05:30,150,152.65,140.1,141.15,65651
2022-01-12 00:00:00+05:30,143,155,142.85,149.65,123428
2022-01-13 00:00:00+05:30,150,155.05,146.3,150.1,80739
2022-01-14 00:00:00+05:30,149.8,152,147.4,149.35,34712
2022-01-17 00:00:00+05:30,150.5,154.3,146.5,147.5,63823
2022-01-18 00:00:00+05:30,147.5,149.6,144.5,145.1,22972
2022-01-19 00:00:00+05:30,148,148,141.35,143.4,17759
2022-01-20 00:00:00+05:30,145.9,146.75,140.15,141.8,18201
2022-01-21 00:00:00+05:30,141.8,145.2,135.15,137.85,16992
2022-01-24 00:00:00+05:30,143,143,120.2,124.05,82531
2022-01-25 00:00:00+05:30,122.95,137.75,121.55,135.4,22237
2022-01-27 00:00:00+05:30,137,137.5,131.25,132.65,19294
2022-01-28 00:00:00+05:30,132,137.9,132,134.1,22328
2022-01-31 00:00:00+05:30,136.8,154.4,133.1,134.6,21492
2022-02-01 00:00:00+05:30,131.2,139.5,131.2,137.2,20669
2022-02-02 00:00:00+05:30,142.95,142.95,135.55,136.75,13525
2022-02-03 00:00:00+05:30,139,139,133.25,137.3,19782
2022-02-04 00:00:00+05:30,138.3,141.35,136,137.15,27541
2022-02-07 00:00:00+05:30,140.7,142,135.05,136.15,17599
2022-02-08 00:00:00+05:30,136.2,137.75,133.05,133.5,22693
2022-02-09 00:00:00+05:30,137.4,137.4,133,134,4475
2022-02-10 00:00:00+05:30,133,138.8,132,135.15,21926
2022-02-11 00:00:00+05:30,141,141,127.1,129.55,25426
2022-02-14 00:00:00+05:30,130,131.95,124.05,124.5,24144
2022-02-15 00:00:00+05:30,129.6,130.8,122.6,125.95,36352
2022-02-16 00:00:00+05:30,127.8,131.35,125.45,127,11996
2022-02-17 00:00:00+05:30,128.85,130.05,125,126.5,12512
2022-02-18 00:00:00+05:30,125.05,127.65,125,126.7,3120
2022-02-21 00:00:00+05:30,125.1,127.25,122.35,125.5,15145
2022-02-22 00:00:00+05:30,125,125,118.25,121.5,12510
2022-02-23 00:00:00+05:30,127,127,123.5,124.85,12384
2022-02-24 00:00:00+05:30,118.05,124.75,115.7,117.1,26451
2022-02-25 00:00:00+05:30,122,129.4,119,125.25,10048
2022-02-28 00:00:00+05:30,125.25,125.55,121.55,123.45,7761
2022-03-02 00:00:00+05:30,121,128,120.05,125,5675
2022-03-03 00:00:00+05:30,129.45,129.45,124.5,128.15,4347
2022-03-04 00:00:00+05:30,126,129,124.15,125.95,10007
2022-03-07 00:00:00+05:30,120,126.8,120,126.25,5748
2022-03-08 00:00:00+05:30,123,128.4,123,125.7,10703
2022-03-09 00:00:00+05:30,127.8,129.7,124.55,128.75,15418
2022-03-10 00:00:00+05:30,130.5,135.15,130,132.3,9823
2022-03-11 00:00:00+05:30,134.5,134.5,129.25,131.65,10697
2022-03-14 00:00:00+05:30,132,134.4,130.05,132.8,4248
2022-03-15 00:00:00+05:30,128,135.5,128,134.35,16989
2022-03-16 00:00:00+05:30,136,142.1,135.1,139.35,22611
2022-03-17 00:00:00+05:30,142.1,142.95,132.95,135.2,22536
2022-03-21 00:00:00+05:30,135.05,137.5,135.05,136.9,3824
2022-03-22 00:00:00+05:30,136.9,139.9,135.7,138.7,13612
2022-03-23 00:00:00+05:30,140,148.8,136,142.2,43452
2022-03-24 00:00:00+05:30,146.5,146.5,140.05,143.85,12937
2022-03-25 00:00:00+05:30,143.6,143.9,138.5,140,27597
2022-03-28 00:00:00+05:30,137.05,143.5,132.1,133.95,14009
2022-03-29 00:00:00+05:30,135,135.95,128.75,130.55,14220
2022-03-30 00:00:00+05:30,132.45,133.7,127.35,130.15,3387
2022-03-31 00:00:00+05:30,131,135.45,130.25,133.45,6820
2022-04-01 00:00:00+05:30,134.25,136.35,132.7,134.8,18691
2022-04-04 00:00:00+05:30,137.7,137.7,134.5,135.55,5660
2022-04-05 00:00:00+05:30,135.05,136.4,133,134.4,13581
2022-04-06 00:00:00+05:30,132.2,137.7,132.2,136.65,15829
2022-04-07 00:00:00+05:30,137.65,137.85,135.1,136.35,2650
2022-04-08 00:00:00+05:30,134.8,144,134.8,139.35,8348
