date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,65.4,67.95,63.5,67.05,54121
2022-01-04 00:00:00+05:30,69.5,74.9,67.25,68.6,314006
2022-01-05 00:00:00+05:30,68.25,70.4,66.7,68,20545
2022-01-06 00:00:00+05:30,68,71,66.45,69.65,31328
2022-01-07 00:00:00+05:30,72.5,72.5,67.3,69.35,14940
2022-01-10 00:00:00+05:30,70,70.05,68,68.3,8391
2022-01-11 00:00:00+05:30,67.8,69.9,67,67.15,20274
2022-01-12 00:00:00+05:30,67.9,73.35,66.55,71.1,100774
2022-01-13 00:00:00+05:30,73.5,85.3,72.6,85.3,914269
2022-01-14 00:00:00+05:30,90,98,87.45,91.95,1186257
2022-01-17 00:00:00+05:30,91.9,91.9,85.5,86.15,140359
2022-01-18 00:00:00+05:30,85.25,87.85,81,82.05,69065
2022-01-19 00:00:00+05:30,82.05,84.6,79,80.3,32135
2022-01-20 00:00:00+05:30,80.1,83.8,80.05,82.15,24721
2022-01-21 00:00:00+05:30,82.85,83.35,76.35,77.35,42542
2022-01-24 00:00:00+05:30,78,81.6,72,77.55,51497
2022-01-25 00:00:00+05:30,80.9,81.05,75.35,79.6,63400
2022-01-27 00:00:00+05:30,78,79.15,74.6,76.35,26738
2022-01-28 00:00:00+05:30,76.4,80.75,75.35,77,40031
2022-01-31 00:00:00+05:30,79.8,79.8,77.2,77.85,13941
2022-02-01 00:00:00+05:30,78.65,80.05,73.35,75.75,18343
2022-02-02 00:00:00+05:30,77.8,77.9,75.8,76.5,11844
2022-02-03 00:00:00+05:30,76.5,77.65,72.2,73.35,32442
2022-02-04 00:00:00+05:30,72.8,88,72.25,88,417957
2022-02-07 00:00:00+05:30,96.5,99.5,88,90.45,539506
2022-02-08 00:00:00+05:30,91.45,91.45,83.05,84.05,77216
2022-02-09 00:00:00+05:30,83.25,84.95,80.15,81.15,40424
2022-02-10 00:00:00+05:30,80,90.8,78.85,83.05,259493
2022-02-11 00:00:00+05:30,80.35,85,76.85,81.8,50226
2022-02-14 00:00:00+05:30,81,81.45,77.5,78.65,28118
2022-02-15 00:00:00+05:30,81.9,83.55,73.1,81.9,41890
2022-02-16 00:00:00+05:30,82,90,81.9,86,137596
2022-02-17 00:00:00+05:30,89,103.2,82.55,103.2,1373146
2022-02-18 00:00:00+05:30,106,112.8,95.35,101,2355051
2022-02-21 00:00:00+05:30,103.9,111.65,97.85,101.2,913185
2022-02-22 00:00:00+05:30,103,113.7,98,102.15,1218129
2022-02-23 00:00:00+05:30,105,121.75,95.55,97.8,1751994
2022-02-24 00:00:00+05:30,93,94.5,78.25,79.85,528188
2022-02-25 00:00:00+05:30,85,93.3,85,90.6,238676
2022-02-28 00:00:00+05:30,86.5,94.6,85.55,89.55,122995
2022-03-02 00:00:00+05:30,90.2,92.3,88.1,89.9,92849
2022-03-03 00:00:00+05:30,92.5,92.8,87.1,87.7,51458
2022-03-04 00:00:00+05:30,87.8,89.7,84.5,87.7,64589
2022-03-07 00:00:00+05:30,85.95,86.9,77.55,79.65,183120
2022-03-08 00:00:00+05:30,82.2,89.95,79.8,88.45,181319
2022-03-09 00:00:00+05:30,91.4,92.45,86.3,87.15,72982
2022-03-10 00:00:00+05:30,90,91.95,87.15,87.95,57105
2022-03-11 00:00:00+05:30,89.6,90.95,87.15,88.15,71746
2022-03-14 00:00:00+05:30,88.15,90.85,86.4,86.95,60672
2022-03-15 00:00:00+05:30,89,89,82.55,84.85,88803
2022-03-16 00:00:00+05:30,86.15,95,83.5,89.35,238486
2022-03-17 00:00:00+05:30,92,94.65,90,91.05,115205
2022-03-21 00:00:00+05:30,92.95,93.65,88.75,89.15,43312
2022-03-22 00:00:00+05:30,90.7,91.6,86.25,90.55,36323
2022-03-23 00:00:00+05:30,91,91.5,87.8,88.55,22961
2022-03-24 00:00:00+05:30,89,89.6,87.05,87.65,54030
2022-03-25 00:00:00+05:30,89,90,87,87.65,29353
2022-03-28 00:00:00+05:30,88,89.85,85.55,86.1,114720
2022-03-29 00:00:00+05:30,89.65,89.65,83.05,84.25,26441
2022-03-30 00:00:00+05:30,87.9,87.9,84,85.6,30970
2022-03-31 00:00:00+05:30,85.5,87.5,84.05,84.9,24048
2022-04-01 00:00:00+05:30,86,86,84.05,85.45,18113
2022-04-04 00:00:00+05:30,88.25,89,85.25,87.25,25545
2022-04-05 00:00:00+05:30,87.9,88.45,84.85,86.05,31205
2022-04-06 00:00:00+05:30,84.1,86.95,81.65,84.15,47028
2022-04-07 00:00:00+05:30,84.25,86,83.5,84.95,35452
2022-04-08 00:00:00+05:30,85.6,97.6,84.8,91.25,272429
