date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,911.95,990,911.95,980.9,213394
2022-01-04 00:00:00+05:30,995,995,965,980.85,30185
2022-01-05 00:00:00+05:30,980.85,988,967.65,970.05,13197
2022-01-06 00:00:00+05:30,954,980.1,954,959.7,12235
2022-01-07 00:00:00+05:30,964.95,969.95,916.6,941.15,24947
2022-01-10 00:00:00+05:30,949.95,949.95,924.05,939.45,15221
2022-01-11 00:00:00+05:30,933.05,942,926,929.8,18051
2022-01-12 00:00:00+05:30,944,947.85,918.6,925.05,15993
2022-01-13 00:00:00+05:30,929.95,934.95,920,922.55,14644
2022-01-14 00:00:00+05:30,926.95,954.95,912.5,918.9,17719
2022-01-17 00:00:00+05:30,929.7,939.8,908.25,931.2,20558
2022-01-18 00:00:00+05:30,931.25,938.95,910.3,912.85,9031
2022-01-19 00:00:00+05:30,914.55,919.05,898,909.75,12871
2022-01-20 00:00:00+05:30,908.5,919.95,894.45,902.8,11642
2022-01-21 00:00:00+05:30,901,911.9,897,904.15,7395
2022-01-24 00:00:00+05:30,909.95,929.95,837.4,857.95,18439
2022-01-25 00:00:00+05:30,860.4,905,823.8,880.65,17648
2022-01-27 00:00:00+05:30,880,886.9,850,855.85,16695
2022-01-28 00:00:00+05:30,863.6,885,863.6,874.5,4618
2022-01-31 00:00:00+05:30,908.8,908.8,860.05,872.9,5070
2022-02-01 00:00:00+05:30,905,950,905,927.25,58221
2022-02-02 00:00:00+05:30,944,962.35,934.25,948.95,40155
2022-02-03 00:00:00+05:30,950,960.05,928,938.1,10439
2022-02-04 00:00:00+05:30,949.95,957.1,940,954.9,17433
2022-02-07 00:00:00+05:30,904,953.95,904,949.15,18926
2022-02-08 00:00:00+05:30,949.15,956.2,915.65,951,20290
2022-02-09 00:00:00+05:30,959.85,965.15,951,962.8,89356
2022-02-10 00:00:00+05:30,969.9,1098.9,969.9,1065.3,244880
2022-02-11 00:00:00+05:30,1026,1078.8,1022.7,1055.7,28014
2022-02-14 00:00:00+05:30,1045,1095,975.1,1054.35,39981
2022-02-15 00:00:00+05:30,1088.95,1088.95,1040.25,1076.85,29409
2022-02-16 00:00:00+05:30,1078.9,1139,1073.95,1125.3,54907
2022-02-17 00:00:00+05:30,1145,1145,1107.6,1113.9,18799
2022-02-18 00:00:00+05:30,1117.9,1117.9,1091.4,1100.6,11002
2022-02-21 00:00:00+05:30,1116.9,1140,1101.1,1134.3,79866
2022-02-22 00:00:00+05:30,1101,1188.05,1091,1162.7,57860
2022-02-23 00:00:00+05:30,1200,1230,1160,1170.1,56191
2022-02-24 00:00:00+05:30,1157,1157,1105.2,1133.4,100933
2022-02-25 00:00:00+05:30,1136.1,1242,1136.1,1220.1,101840
2022-02-28 00:00:00+05:30,1220.1,1464.1,1191.3,1371.2,362655
2022-03-02 00:00:00+05:30,1370,1400,1322,1359.9,81460
2022-03-03 00:00:00+05:30,1365.5,1380,1301.1,1317.6,26641
2022-03-04 00:00:00+05:30,1309,1309,1188.55,1216.05,84746
2022-03-07 00:00:00+05:30,1210,1257.95,1155,1185.6,40049
2022-03-08 00:00:00+05:30,1170.15,1338,1170.15,1298.05,70507
2022-03-09 00:00:00+05:30,1356.1,1424,1351.1,1389.95,72304
2022-03-10 00:00:00+05:30,1428,1429,1292.65,1333.7,39511
2022-03-11 00:00:00+05:30,1333.7,1392,1333.7,1385.15,26015
2022-03-14 00:00:00+05:30,1396.8,1450,1370,1410.1,42446
2022-03-15 00:00:00+05:30,1404.8,1407.6,1360.35,1378.15,10779
2022-03-16 00:00:00+05:30,1390,1499,1381,1435.2,99106
2022-03-17 00:00:00+05:30,1447.8,1500,1400.1,1445.3,66228
2022-03-21 00:00:00+05:30,1450,1475,1393.6,1405.4,15149
2022-03-22 00:00:00+05:30,1425,1449,1366.55,1390.85,11550
2022-03-23 00:00:00+05:30,1410,1430,1390,1400.5,8802
2022-03-24 00:00:00+05:30,1400,1412.05,1375,1387.7,9226
2022-03-25 00:00:00+05:30,1387,1424,1345,1362.6,10367
2022-03-28 00:00:00+05:30,1362.6,1420,1356.2,1413,11723
2022-03-29 00:00:00+05:30,1424,1429,1380.5,1391.85,11682
2022-03-30 00:00:00+05:30,1394.85,1444.5,1394.85,1404.45,10898
2022-03-31 00:00:00+05:30,1404,1475,1401.05,1409.8,17526
2022-04-01 00:00:00+05:30,1424.3,1450,1405,1432.4,10953
2022-04-04 00:00:00+05:30,1440,1545,1440,1506.5,59117
2022-04-05 00:00:00+05:30,1529,1537.3,1452.75,1458.8,31964
2022-04-06 00:00:00+05:30,1461.25,1479.8,1441.6,1459.7,17553
2022-04-07 00:00:00+05:30,1464,1482.95,1421,1436.65,8413
2022-04-08 00:00:00+05:30,1457.45,1457.95,1420,1434,10293
