date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,605,605,568,571.3,193726
2022-01-04 00:00:00+05:30,577.6,577.6,566.75,570.05,155325
2022-01-05 00:00:00+05:30,568.9,570,555,556.9,128266
2022-01-06 00:00:00+05:30,555,561.55,547.6,558.15,139277
2022-01-07 00:00:00+05:30,568,568,551,553.9,111066
2022-01-10 00:00:00+05:30,556,557.8,543.7,548.1,95800
2022-01-11 00:00:00+05:30,550,553,543.2,545.2,86575
2022-01-12 00:00:00+05:30,554,554.35,547,550.05,70953
2022-01-13 00:00:00+05:30,553.5,553.9,538,539.35,186413
2022-01-14 00:00:00+05:30,539.35,545.8,533.1,540.85,149681
2022-01-17 00:00:00+05:30,545,566.5,543.45,559.65,212895
2022-01-18 00:00:00+05:30,560,560,536.75,540.4,143960
2022-01-19 00:00:00+05:30,540,542.65,521.4,526.35,186784
2022-01-20 00:00:00+05:30,521,536,521,529.6,108225
2022-01-21 00:00:00+05:30,525,543,525,535.95,143134
2022-01-24 00:00:00+05:30,536,537.35,504.2,520.1,163972
2022-01-25 00:00:00+05:30,511,520.9,498.1,515.5,107850
2022-01-27 00:00:00+05:30,515,515,502.25,506.6,76642
2022-01-28 00:00:00+05:30,498,502.95,452.35,464.5,711576
2022-01-31 00:00:00+05:30,480,480,458,462.9,236810
2022-02-01 00:00:00+05:30,462,468,437.55,443.05,652318
2022-02-02 00:00:00+05:30,450,470,447,451.55,532693
2022-02-03 00:00:00+05:30,457,457,445.65,449.2,178138
2022-02-04 00:00:00+05:30,451,468,448.25,460.65,236658
2022-02-07 00:00:00+05:30,469,469,452,460.5,174944
2022-02-08 00:00:00+05:30,460.95,460.95,447.05,452.8,112998
2022-02-09 00:00:00+05:30,453.8,458.25,447.05,450.65,69042
2022-02-10 00:00:00+05:30,454.4,454.65,439.05,441.35,125194
2022-02-11 00:00:00+05:30,445.35,447,435.05,444.05,116081
2022-02-14 00:00:00+05:30,435,440,425.05,428.55,159183
2022-02-15 00:00:00+05:30,430.65,436.95,418,420.65,143591
2022-02-16 00:00:00+05:30,427.65,443.9,426.1,431.7,219802
2022-02-17 00:00:00+05:30,433.85,439,423.55,428.65,262644
2022-02-18 00:00:00+05:30,429.65,445,420.05,424.9,165572
2022-02-21 00:00:00+05:30,421,424.9,405.2,408.85,157731
2022-02-22 00:00:00+05:30,400,406.75,398,399.7,106058
2022-02-23 00:00:00+05:30,408,416.05,405,406.9,96233
2022-02-24 00:00:00+05:30,400,402,377,381.2,143167
2022-02-25 00:00:00+05:30,384,416,384,406.85,178154
2022-02-28 00:00:00+05:30,406,418,394.9,410.1,69854
2022-03-02 00:00:00+05:30,410,411.1,394.85,399.25,114713
2022-03-03 00:00:00+05:30,404,412,391.9,395.75,115082
2022-03-04 00:00:00+05:30,396,408.7,396,400.35,90902
2022-03-07 00:00:00+05:30,396,404.9,389,393.85,95668
2022-03-08 00:00:00+05:30,391,401.9,390,396.1,86052
2022-03-09 00:00:00+05:30,402,415,400.4,406.65,154370
2022-03-10 00:00:00+05:30,418,444.25,403.4,412.4,384698
2022-03-11 00:00:00+05:30,413,419.15,403.45,406.6,129513
2022-03-14 00:00:00+05:30,408,413,399,400.45,143922
2022-03-15 00:00:00+05:30,401.9,406.65,399,402.25,127538
2022-03-16 00:00:00+05:30,403.9,422.9,398.25,401.25,168812
2022-03-17 00:00:00+05:30,406.95,418,398.25,401.8,267407
2022-03-21 00:00:00+05:30,413,413,399.9,405.75,123295
2022-03-22 00:00:00+05:30,405.75,408.55,398,399.45,127644
2022-03-23 00:00:00+05:30,402.9,404.8,391.1,393.05,201588
2022-03-24 00:00:00+05:30,391.8,397.4,389.05,390.7,103248
2022-03-25 00:00:00+05:30,392.3,394.55,379,380.4,244129
2022-03-28 00:00:00+05:30,382.3,384,360.15,362.55,357284
2022-03-29 00:00:00+05:30,363,405.5,362.55,385,1592037
2022-03-30 00:00:00+05:30,389.95,397.5,380.3,384.9,336707
2022-03-31 00:00:00+05:30,396,396,372,373.95,295494
2022-04-01 00:00:00+05:30,375,417.5,374.45,408.05,417797
2022-04-04 00:00:00+05:30,417.4,417.9,405.2,407.3,245207
2022-04-05 00:00:00+05:30,411.5,480,404.1,461.8,2505155
2022-04-06 00:00:00+05:30,465,522.75,460,515.95,3893766
2022-04-07 00:00:00+05:30,520,520,483.6,491.2,1097911
2022-04-08 00:00:00+05:30,496,507,493,503.05,215825
