date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,44.05,44.6,43.05,43.6,5219085
2022-01-04 00:00:00+05:30,43.9,44.55,41.85,42.15,6211613
2022-01-05 00:00:00+05:30,42.2,42.6,40.9,41.15,4997936
2022-01-06 00:00:00+05:30,40.5,42.35,40.45,41.75,4759322
2022-01-07 00:00:00+05:30,42.45,43.95,42,42.75,9503587
2022-01-10 00:00:00+05:30,43.2,43.35,42.4,42.7,3713610
2022-01-11 00:00:00+05:30,43,43.1,41.5,41.75,3412438
2022-01-12 00:00:00+05:30,41.7,42.3,41.15,41.35,2984326
2022-01-13 00:00:00+05:30,41.4,41.75,41,41.15,2495653
2022-01-14 00:00:00+05:30,40.8,41.6,40.6,40.8,2476095
2022-01-17 00:00:00+05:30,41,44,40.9,42.75,8786577
2022-01-18 00:00:00+05:30,42.9,43.45,40.75,41.1,3532528
2022-01-19 00:00:00+05:30,41.1,41.75,40.7,41.2,3948650
2022-01-20 00:00:00+05:30,41.45,42.35,41.3,41.5,3214207
2022-01-21 00:00:00+05:30,41.55,42.35,40,40.55,3534802
2022-01-24 00:00:00+05:30,41.9,41.9,38.15,38.7,5031998
2022-01-25 00:00:00+05:30,38.75,40.45,37.7,39.2,3182656
2022-01-27 00:00:00+05:30,38.1,39.6,38.1,39,2194543
2022-01-28 00:00:00+05:30,39.3,40.25,39,39.25,1960660
2022-01-31 00:00:00+05:30,39.7,40.65,39.2,39.4,2193773
2022-02-01 00:00:00+05:30,39.55,39.8,38.7,39.1,2287738
2022-02-02 00:00:00+05:30,39.4,39.75,39.05,39.5,1789102
2022-02-03 00:00:00+05:30,39.6,39.75,38.95,39.15,1516844
2022-02-04 00:00:00+05:30,39.3,39.35,38.65,39,2236441
2022-02-07 00:00:00+05:30,39,39.25,38.1,38.2,2041637
2022-02-08 00:00:00+05:30,38.2,38.7,36.9,38.2,1998892
2022-02-09 00:00:00+05:30,38,39.3,37.8,38.15,1631013
2022-02-10 00:00:00+05:30,38.25,38.35,37.6,37.7,1411824
2022-02-11 00:00:00+05:30,37.4,37.5,36.75,36.85,1735679
2022-02-14 00:00:00+05:30,36.35,36.35,35.05,35.4,2298655
2022-02-15 00:00:00+05:30,35.9,36.1,34.55,35.7,1976791
2022-02-16 00:00:00+05:30,35.9,37.1,35.9,36.6,1776937
2022-02-17 00:00:00+05:30,36.6,37,35.45,35.7,1638508
2022-02-18 00:00:00+05:30,35.6,35.7,34.9,35.05,1265248
2022-02-21 00:00:00+05:30,35,35.1,33.8,34.05,1685729
2022-02-22 00:00:00+05:30,32.75,33.6,32.7,32.9,2498553
2022-02-23 00:00:00+05:30,32.8,34.2,32.8,33.6,2253357
2022-02-24 00:00:00+05:30,32,32.5,29.55,30,3581588
2022-02-25 00:00:00+05:30,31.6,32.6,31.45,32.35,2865223
2022-02-28 00:00:00+05:30,32.4,32.4,30.65,31.3,3363049
2022-03-02 00:00:00+05:30,32,32.4,31.65,32,2909639
2022-03-03 00:00:00+05:30,32.1,32.65,31.9,32.25,2175332
2022-03-04 00:00:00+05:30,31.75,32.2,31.35,31.75,1797781
2022-03-07 00:00:00+05:30,31.4,31.45,30.3,30.65,2255445
2022-03-08 00:00:00+05:30,30.45,31.4,30.4,30.9,1831565
2022-03-09 00:00:00+05:30,31,33.05,30.9,32.25,3336858
2022-03-10 00:00:00+05:30,33.25,33.65,32.15,32.6,1932449
2022-03-11 00:00:00+05:30,32.65,33.1,32.2,32.6,1930894
2022-03-14 00:00:00+05:30,32.95,33.05,31.35,31.6,5946145
2022-03-15 00:00:00+05:30,31.85,32,31.1,31.3,5113601
2022-03-16 00:00:00+05:30,31.5,31.85,31.2,31.5,6031993
2022-03-17 00:00:00+05:30,31.7,33,31.65,32.7,7539739
2022-03-21 00:00:00+05:30,33.25,33.35,32,32.15,2498031
2022-03-22 00:00:00+05:30,32,32.2,31.7,31.85,2810509
2022-03-23 00:00:00+05:30,32,32.05,31,31.2,2645591
2022-03-24 00:00:00+05:30,31.2,31.5,30.85,31.15,9444041
2022-03-25 00:00:00+05:30,31.2,31.4,30.75,31,9183552
2022-03-28 00:00:00+05:30,30.8,31.15,29.5,30.1,5574539
2022-03-29 00:00:00+05:30,30.1,30.4,28.9,29.25,5285509
2022-03-30 00:00:00+05:30,29.5,33.5,29.45,32.55,11796155
2022-03-31 00:00:00+05:30,33.4,35.25,32.35,34.7,13858953
2022-04-01 00:00:00+05:30,35,38.15,34.4,37.7,13476856
2022-04-04 00:00:00+05:30,37.25,39.35,36.6,37.45,9457332
2022-04-05 00:00:00+05:30,37.75,38.15,36.7,37,4151988
2022-04-06 00:00:00+05:30,37,37.3,36.05,36.3,3393992
2022-04-07 00:00:00+05:30,36.3,36.75,35.35,35.45,2468390
2022-04-08 00:00:00+05:30,35.6,36.1,35.35,35.45,1783875
