date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,18.1,18.35,17.6,18.1,218725
2022-01-04 00:00:00+05:30,18.4,19.3,18.25,18.6,405437
2022-01-05 00:00:00+05:30,18.7,19.1,18.15,18.8,149892
2022-01-06 00:00:00+05:30,18.75,18.75,17.75,18.25,120895
2022-01-07 00:00:00+05:30,18.35,19.1,18.35,18.55,130652
2022-01-10 00:00:00+05:30,19.2,22.25,18.6,22.25,1181177
2022-01-11 00:00:00+05:30,23,26.7,23,26.7,3146082
2022-01-12 00:00:00+05:30,29.35,29.35,28.55,29.35,919540
2022-01-13 00:00:00+05:30,30.5,31,26.45,26.55,2139172
2022-01-14 00:00:00+05:30,26.95,29.2,24.65,29.2,621886
2022-01-17 00:00:00+05:30,29.5,32.1,29.2,32.1,601797
2022-01-18 00:00:00+05:30,34,35.3,33.05,35.05,1941310
2022-01-19 00:00:00+05:30,36.2,36.8,35.25,36.8,912521
2022-01-20 00:00:00+05:30,36.8,38.5,35,35,1565280
2022-01-21 00:00:00+05:30,33.5,36.75,33.25,33.25,569681
2022-01-24 00:00:00+05:30,31.8,32.4,31.6,31.6,178760
2022-01-25 00:00:00+05:30,30.05,30.05,30.05,30.05,92199
2022-01-27 00:00:00+05:30,28.55,30,28.55,28.55,333071
2022-01-28 00:00:00+05:30,28.25,28.25,27.15,27.15,354071
2022-01-31 00:00:00+05:30,26.6,28.5,25.8,25.95,689614
2022-02-01 00:00:00+05:30,26.2,26.75,24.7,24.7,234654
2022-02-02 00:00:00+05:30,24.65,25.9,23.8,25.9,512514
2022-02-03 00:00:00+05:30,26.15,27.15,25.25,27.15,246148
2022-02-04 00:00:00+05:30,27,28.5,26.5,28.5,432431
2022-02-07 00:00:00+05:30,29.9,29.9,27.1,27.1,560865
2022-02-08 00:00:00+05:30,26.7,27.4,25.75,25.95,326520
2022-02-09 00:00:00+05:30,25.6,26,24.7,24.7,154584
2022-02-10 00:00:00+05:30,24.3,25.25,23.5,23.55,238861
2022-02-11 00:00:00+05:30,23,24.7,22.8,24.7,112914
2022-02-14 00:00:00+05:30,24.7,25.9,23.5,23.5,175732
2022-02-15 00:00:00+05:30,23.05,24.4,22.35,22.35,270917
2022-02-16 00:00:00+05:30,22.35,23,21.55,21.85,197037
2022-02-17 00:00:00+05:30,22,22.6,21.1,21.3,98651
2022-02-18 00:00:00+05:30,21.3,22.3,20.6,22.15,92482
2022-02-21 00:00:00+05:30,22.3,22.3,21.05,21.05,59589
2022-02-22 00:00:00+05:30,20.15,20.4,20,20,21064
2022-02-23 00:00:00+05:30,19.95,20.8,19.25,19.5,69814
2022-02-24 00:00:00+05:30,18.65,19,18.55,18.55,35216
2022-02-25 00:00:00+05:30,19,19.1,17.75,18,92010
2022-02-28 00:00:00+05:30,17.25,18.8,17.15,18.35,71492
2022-03-02 00:00:00+05:30,18.3,19.25,17.8,19.05,88229
2022-03-03 00:00:00+05:30,19.7,20,19.55,20,44632
2022-03-04 00:00:00+05:30,20,20.75,19.05,19.15,112845
2022-03-07 00:00:00+05:30,19.5,19.5,18.2,18.2,44373
2022-03-08 00:00:00+05:30,18.2,18.95,17.55,18.45,43606
2022-03-09 00:00:00+05:30,18.85,19.35,18.45,19.35,34101
2022-03-10 00:00:00+05:30,20.3,20.3,19.75,20.3,19098
2022-03-11 00:00:00+05:30,20.75,21.3,20.3,21.3,56069
2022-03-14 00:00:00+05:30,22.15,22.35,21.75,22.35,45705
2022-03-15 00:00:00+05:30,23.15,23.45,21.3,22.4,182617
2022-03-16 00:00:00+05:30,22.75,23.5,21.55,22.35,66444
2022-03-17 00:00:00+05:30,22.9,23,21.7,21.95,89133
2022-03-21 00:00:00+05:30,21.4,22.45,21.4,21.7,54870
2022-03-22 00:00:00+05:30,21.4,22.45,21.1,21.4,45396
2022-03-23 00:00:00+05:30,21.8,22.45,21.3,22.4,106043
2022-03-24 00:00:00+05:30,23.3,23.3,22,22.45,79146
2022-03-25 00:00:00+05:30,22.95,23,21.35,21.5,121786
2022-03-28 00:00:00+05:30,21.75,21.75,20.45,20.45,60329
2022-03-29 00:00:00+05:30,20.05,20.45,19.45,19.45,76589
2022-03-30 00:00:00+05:30,19.45,20.4,18.85,19.55,138301
2022-03-31 00:00:00+05:30,20.2,20.45,19.25,19.95,34760
2022-04-01 00:00:00+05:30,20.5,20.8,19.95,20.4,39362
2022-04-04 00:00:00+05:30,20.75,21.4,19.95,20.3,113521
2022-04-05 00:00:00+05:30,20.75,21.25,20,20.25,166120
2022-04-06 00:00:00+05:30,20.25,20.7,19.55,20.3,68904
2022-04-07 00:00:00+05:30,20.55,21.4,19.05,21,184821
2022-04-08 00:00:00+05:30,21.45,22,20.6,21.2,88691
