date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,3,3,3,3,1423693
2022-01-04 00:00:00+05:30,3.15,3.15,3.1,3.15,10799688
2022-01-05 00:00:00+05:30,3.3,3.3,3.3,3.3,1238450
2022-01-06 00:00:00+05:30,3.45,3.45,3.45,3.45,717235
2022-01-07 00:00:00+05:30,3.6,3.6,3.6,3.6,529033
2022-01-10 00:00:00+05:30,3.75,3.75,3.75,3.75,367408
2022-01-11 00:00:00+05:30,3.9,3.9,3.9,3.9,542131
2022-01-12 00:00:00+05:30,4.05,4.05,4.05,4.05,4707151
2022-01-13 00:00:00+05:30,4.25,4.25,3.85,4.25,61287923
2022-01-14 00:00:00+05:30,4.4,4.45,4.4,4.45,3417847
2022-01-17 00:00:00+05:30,4.65,4.65,4.65,4.65,1054704
2022-01-18 00:00:00+05:30,4.85,4.85,4.85,4.85,1683537
2022-01-19 00:00:00+05:30,5.05,5.05,5.05,5.05,982982
2022-01-20 00:00:00+05:30,5.3,5.3,5.3,5.3,827004
2022-01-21 00:00:00+05:30,5.55,5.55,5.55,5.55,4182121
2022-01-24 00:00:00+05:30,5.8,5.8,5.3,5.8,61287588
2022-01-25 00:00:00+05:30,5.95,6.05,5.9,6.05,25625399
2022-01-27 00:00:00+05:30,6.35,6.35,6.1,6.35,26983908
2022-01-28 00:00:00+05:30,6.65,6.65,6.45,6.6,13338627
2022-01-31 00:00:00+05:30,6.9,6.9,6.3,6.3,11984255
2022-02-01 00:00:00+05:30,6,6,6,6,1498111
2022-02-02 00:00:00+05:30,5.7,5.7,5.7,5.7,6566190
2022-02-03 00:00:00+05:30,5.45,5.45,5.45,5.45,2642844
2022-02-04 00:00:00+05:30,5.25,5.7,5.25,5.7,15109040
2022-02-07 00:00:00+05:30,5.8,5.95,5.45,5.95,15207986
2022-02-08 00:00:00+05:30,6.2,6.2,5.7,5.7,12317398
2022-02-09 00:00:00+05:30,5.45,5.45,5.45,5.45,1797117
2022-02-10 00:00:00+05:30,5.2,5.7,5.2,5.7,9460781
2022-02-11 00:00:00+05:30,5.65,5.95,5.45,5.75,9722782
2022-02-14 00:00:00+05:30,5.5,5.5,5.5,5.5,1281725
2022-02-15 00:00:00+05:30,5.25,5.75,5.25,5.65,5310210
2022-02-16 00:00:00+05:30,5.55,5.55,5.4,5.4,3741180
2022-02-17 00:00:00+05:30,5.15,5.3,5.15,5.15,2381085
2022-02-18 00:00:00+05:30,4.9,5,4.9,4.9,1864515
2022-02-21 00:00:00+05:30,5,5.1,5,5.1,11296687
2022-02-22 00:00:00+05:30,5.15,5.35,4.85,5.35,13447403
2022-02-23 00:00:00+05:30,5.55,5.6,5.45,5.6,10593814
2022-02-24 00:00:00+05:30,5.35,5.35,5.35,5.35,1891337
2022-02-25 00:00:00+05:30,5.1,5.45,5.1,5.1,6674324
2022-02-28 00:00:00+05:30,4.85,5.35,4.85,5.3,8142965
2022-03-02 00:00:00+05:30,5.25,5.25,5.05,5.05,3587062
2022-03-03 00:00:00+05:30,5.3,5.3,4.85,5.1,2870781
2022-03-04 00:00:00+05:30,5.2,5.35,5,5.2,5108692
2022-03-07 00:00:00+05:30,5.05,5.2,4.95,5,3863913
2022-03-08 00:00:00+05:30,5.05,5.15,4.9,5,2179590
2022-03-09 00:00:00+05:30,5.15,5.25,5.05,5.25,6080546
2022-03-10 00:00:00+05:30,5.5,5.5,5.3,5.5,4984163
2022-03-11 00:00:00+05:30,5.7,5.75,5.65,5.75,8341468
2022-03-14 00:00:00+05:30,6,6,5.9,6,14092528
2022-03-15 00:00:00+05:30,6.2,6.3,5.7,6.2,13605611
2022-03-16 00:00:00+05:30,5.9,5.9,5.9,5.9,2257249
2022-03-17 00:00:00+05:30,5.65,6.15,5.65,6.1,14703757
2022-03-21 00:00:00+05:30,6,6.1,5.8,5.8,8474704
2022-03-22 00:00:00+05:30,5.55,5.9,5.55,5.85,7538111
2022-03-23 00:00:00+05:30,5.75,6,5.6,5.6,5510498
2022-03-24 00:00:00+05:30,5.6,5.85,5.35,5.65,16335533
2022-03-25 00:00:00+05:30,5.9,5.9,5.65,5.8,15057543
2022-03-28 00:00:00+05:30,5.95,5.95,5.55,5.55,9749372
2022-03-29 00:00:00+05:30,5.7,5.8,5.55,5.65,18966701
2022-03-30 00:00:00+05:30,5.8,5.85,5.5,5.55,8709852
2022-03-31 00:00:00+05:30,5.6,5.75,5.3,5.3,15813453
2022-04-01 00:00:00+05:30,5.5,5.5,5.05,5.3,21686068
2022-04-04 00:00:00+05:30,5.4,5.45,5.2,5.3,10394628
2022-04-05 00:00:00+05:30,5.4,5.45,5.1,5.2,10693517
2022-04-06 00:00:00+05:30,5.2,5.45,5.05,5.35,17464724
2022-04-07 00:00:00+05:30,5.4,5.8,5.35,5.75,12804027
2022-04-08 00:00:00+05:30,5.9,6,5.6,5.65,10486624
