date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,82.05,87.6,81,81.15,37311
2022-01-04 00:00:00+05:30,82.95,83.6,78.1,80.1,32012
2022-01-05 00:00:00+05:30,80.05,81.6,78.75,79.5,18416
2022-01-06 00:00:00+05:30,80,80,77.2,79.05,9109
2022-01-07 00:00:00+05:30,79.95,80.35,76.25,77.15,29890
2022-01-10 00:00:00+05:30,81,81,75.25,76.05,64064
2022-01-11 00:00:00+05:30,77.9,77.9,72.8,74.5,36567
2022-01-12 00:00:00+05:30,74.1,76,74.1,74.9,14083
2022-01-13 00:00:00+05:30,75.8,77,74.5,76.15,9364
2022-01-14 00:00:00+05:30,77.7,77.7,74,75.15,15319
2022-01-17 00:00:00+05:30,77.5,77.5,73.2,75.1,25132
2022-01-18 00:00:00+05:30,74.15,75.8,73.2,74,13765
2022-01-19 00:00:00+05:30,74.95,74.95,73.2,73.7,12466
2022-01-20 00:00:00+05:30,74.05,75.95,74.05,75.7,13639
2022-01-21 00:00:00+05:30,75.8,76.2,71.55,72.35,32383
2022-01-24 00:00:00+05:30,72,73.95,70.25,73,18978
2022-01-25 00:00:00+05:30,73.9,73.9,67.3,72.05,8958
2022-01-27 00:00:00+05:30,74,74,69,70.55,10659
2022-01-28 00:00:00+05:30,70.15,77.4,70,71.5,47626
2022-01-31 00:00:00+05:30,74.8,74.8,70.25,71.9,11019
2022-02-01 00:00:00+05:30,72.2,73.5,69.15,70.85,35349
2022-02-02 00:00:00+05:30,70.9,72.5,70.55,71.45,10625
2022-02-03 00:00:00+05:30,72.85,73,71.15,72.35,12916
2022-02-04 00:00:00+05:30,72.45,74.9,72.25,74.45,13364
2022-02-07 00:00:00+05:30,75,75,72.1,72.55,6031
2022-02-08 00:00:00+05:30,72.1,74.7,71.35,73.7,4495
2022-02-09 00:00:00+05:30,73.5,73.5,70.25,70.95,6508
2022-02-10 00:00:00+05:30,70.15,72.1,70,70.15,8031
2022-02-11 00:00:00+05:30,68.7,71.6,63.35,68.15,20946
2022-02-14 00:00:00+05:30,73,75,66,67.75,103151
2022-02-15 00:00:00+05:30,70,74.9,66,67.3,89648
2022-02-16 00:00:00+05:30,71,72.3,68.6,69.4,38797
2022-02-17 00:00:00+05:30,67.3,71.7,67.2,67.6,19036
2022-02-18 00:00:00+05:30,67.6,68.45,65.1,66.65,16862
2022-02-21 00:00:00+05:30,68,68,63,63.75,16920
2022-02-22 00:00:00+05:30,60.7,64,58.6,59.3,20638
2022-02-23 00:00:00+05:30,57.15,65,57.15,62.1,34052
2022-02-24 00:00:00+05:30,62,62,51.65,53.55,44410
2022-02-25 00:00:00+05:30,53.15,57.95,53.15,56.2,31132
2022-02-28 00:00:00+05:30,56.3,60,54.55,59.6,9084
2022-03-02 00:00:00+05:30,62.9,62.9,59.45,60.65,12250
2022-03-03 00:00:00+05:30,60.15,61.15,60.15,60.25,5829
2022-03-04 00:00:00+05:30,59.5,59.8,55.55,57.1,9752
2022-03-07 00:00:00+05:30,54.3,56.65,54.3,55.25,10090
2022-03-08 00:00:00+05:30,58.7,59.7,55.55,56.75,15061
2022-03-09 00:00:00+05:30,57.65,57.65,54,56.05,19022
2022-03-10 00:00:00+05:30,56.45,59.25,56.45,57.25,19462
2022-03-11 00:00:00+05:30,59.45,59.45,55.55,56.05,15515
2022-03-14 00:00:00+05:30,56.2,58.4,54.6,55.55,19944
2022-03-15 00:00:00+05:30,55.55,58.95,54.85,55.5,27394
2022-03-16 00:00:00+05:30,56.25,57.85,56.05,56.6,7029
2022-03-17 00:00:00+05:30,56,57.6,55.4,55.9,12191
2022-03-21 00:00:00+05:30,55.35,57.85,55.35,56.1,7773
2022-03-22 00:00:00+05:30,55.35,56.2,54.2,54.9,15681
2022-03-23 00:00:00+05:30,54.2,56.05,52.15,54.2,35674
2022-03-24 00:00:00+05:30,54.2,55.7,53.6,53.85,15079
2022-03-25 00:00:00+05:30,55.5,55.65,53.2,53.5,13399
2022-03-28 00:00:00+05:30,54.95,56.5,53.3,54.2,11342
2022-03-29 00:00:00+05:30,54.2,56.4,50.35,52.3,20807
2022-03-30 00:00:00+05:30,51.4,52.4,45.5,48.7,113507
2022-03-31 00:00:00+05:30,49.85,49.9,47.05,47.65,33039
2022-04-01 00:00:00+05:30,49.65,57.15,48,57.15,81642
2022-04-04 00:00:00+05:30,64.95,68.55,64.7,68.55,257911
2022-04-05 00:00:00+05:30,74.5,82.25,71.8,82.25,1005187
2022-04-06 00:00:00+05:30,81.9,81.9,74.05,75.9,357016
2022-04-07 00:00:00+05:30,78.9,78.9,72.1,73.9,61486
2022-04-08 00:00:00+05:30,76.2,76.2,72,72.45,27894
