date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,16.35,16.5,16.15,16.5,106935
2022-01-04 00:00:00+05:30,17.25,17.3,16.2,16.8,205560
2022-01-05 00:00:00+05:30,17.2,17.4,16.2,16.95,130674
2022-01-06 00:00:00+05:30,17,17.75,16.4,17.75,207827
2022-01-07 00:00:00+05:30,17.9,18.6,17.8,18.6,198972
2022-01-10 00:00:00+05:30,19.5,19.5,19.5,19.5,42702
2022-01-11 00:00:00+05:30,20.45,20.45,20.45,20.45,55953
2022-01-12 00:00:00+05:30,21.45,21.45,19.45,19.45,157738
2022-01-13 00:00:00+05:30,18.5,20.25,18.5,18.5,77047
2022-01-14 00:00:00+05:30,17.6,18.45,17.6,18,157649
2022-01-17 00:00:00+05:30,17.9,18.2,17.25,17.9,131303
2022-01-18 00:00:00+05:30,18.75,18.75,17.55,18.4,102790
2022-01-19 00:00:00+05:30,18.9,18.9,17.5,18.15,106645
2022-01-20 00:00:00+05:30,17.6,18.45,17.55,17.7,90795
2022-01-21 00:00:00+05:30,17.05,17.7,16.85,16.85,85382
2022-01-24 00:00:00+05:30,16.4,17.1,16.05,16.05,61948
2022-01-25 00:00:00+05:30,16.1,16.1,15.25,15.25,36766
2022-01-27 00:00:00+05:30,14.65,15.45,14.5,15.1,67009
2022-01-28 00:00:00+05:30,15.6,15.85,15.4,15.85,11614
2022-01-31 00:00:00+05:30,16.6,16.6,16.6,16.6,15608
2022-02-01 00:00:00+05:30,17.25,17.4,16.75,17.4,63483
2022-02-02 00:00:00+05:30,18.25,18.25,17.5,18.25,71910
2022-02-03 00:00:00+05:30,18.55,18.85,17.35,18.75,160698
2022-02-04 00:00:00+05:30,18.4,18.9,17.85,17.9,79329
2022-02-07 00:00:00+05:30,18.15,18.15,17.05,17.15,56890
2022-02-08 00:00:00+05:30,17.55,17.55,16.4,16.5,42843
2022-02-09 00:00:00+05:30,16.85,16.85,16.05,16.2,34819
2022-02-10 00:00:00+05:30,16.2,17,15.75,17,50303
2022-02-11 00:00:00+05:30,16.6,17,16.55,16.7,42645
2022-02-14 00:00:00+05:30,16,16.4,15.9,15.9,24576
2022-02-15 00:00:00+05:30,15.5,16.4,15.15,15.3,63101
2022-02-16 00:00:00+05:30,15.3,16,15,15.3,52135
2022-02-17 00:00:00+05:30,15.95,15.95,14.6,14.85,16494
2022-02-18 00:00:00+05:30,15.3,15.3,14.3,14.65,16202
2022-02-21 00:00:00+05:30,14.4,15.3,14.05,14.1,31940
2022-02-22 00:00:00+05:30,13.55,13.55,13.4,13.4,16882
2022-02-23 00:00:00+05:30,12.85,14.05,12.85,14.05,25637
2022-02-24 00:00:00+05:30,13.8,13.8,13.35,13.35,27514
2022-02-25 00:00:00+05:30,12.8,14,12.8,14,16605
2022-02-28 00:00:00+05:30,14.15,14.7,13.6,14.7,28772
2022-03-02 00:00:00+05:30,15.35,15.4,15.05,15.4,32438
2022-03-03 00:00:00+05:30,16,16.15,16,16.15,20195
2022-03-04 00:00:00+05:30,16,16.95,15.35,15.55,74653
2022-03-07 00:00:00+05:30,15.4,15.4,14.85,14.95,18042
2022-03-08 00:00:00+05:30,15.5,15.5,14.95,15.1,16867
2022-03-09 00:00:00+05:30,15,15.85,15,15.85,28281
2022-03-10 00:00:00+05:30,16.35,16.6,15.85,16.45,45508
2022-03-11 00:00:00+05:30,16.6,16.75,15.7,16.05,32336
2022-03-14 00:00:00+05:30,16.4,16.85,16.15,16.85,28527
2022-03-15 00:00:00+05:30,17.65,17.65,17.65,17.65,24799
2022-03-16 00:00:00+05:30,18.5,18.5,18.5,18.5,28400
2022-03-17 00:00:00+05:30,19.4,19.4,17.6,17.65,212876
2022-03-21 00:00:00+05:30,17.75,17.75,16.8,16.9,65638
2022-03-22 00:00:00+05:30,16.35,17.65,16.1,16.1,64087
2022-03-23 00:00:00+05:30,16.2,16.7,15.7,16.4,34027
2022-03-24 00:00:00+05:30,15.8,16.9,15.8,16.55,25919
2022-03-25 00:00:00+05:30,16.9,17.3,15.75,15.85,102916
2022-03-28 00:00:00+05:30,15.85,15.85,15.1,15.45,36961
2022-03-29 00:00:00+05:30,15,16.2,14.75,15.15,72785
2022-03-30 00:00:00+05:30,15.05,15.9,14.9,15.6,24507
2022-03-31 00:00:00+05:30,15.6,16,15,15.35,23300
2022-04-01 00:00:00+05:30,15.2,15.9,15.2,15.8,18808
2022-04-04 00:00:00+05:30,15.8,16.55,15.5,16.55,62745
2022-04-05 00:00:00+05:30,17.35,17.35,17.35,17.35,42494
2022-04-06 00:00:00+05:30,18.2,18.2,18,18.2,104817
2022-04-07 00:00:00+05:30,18.9,19.1,17.3,18.35,246491
2022-04-08 00:00:00+05:30,18.95,19.25,18.35,19.25,112532
