date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,21.85,23.45,21.8,23.3,2033510
2022-01-04 00:00:00+05:30,23.6,24,22.05,22.8,1206458
2022-01-05 00:00:00+05:30,22.85,22.9,21.6,21.9,541596
2022-01-06 00:00:00+05:30,21.85,23.7,19.05,22.95,1295183
2022-01-07 00:00:00+05:30,23.15,23.5,22.6,22.9,569242
2022-01-10 00:00:00+05:30,23.5,24.95,23,24.35,2483839
2022-01-11 00:00:00+05:30,25.4,26.5,24.5,25.15,2359382
2022-01-12 00:00:00+05:30,25.3,25.35,23.5,23.8,985252
2022-01-13 00:00:00+05:30,23.8,24.95,23.05,24.35,706186
2022-01-14 00:00:00+05:30,23.7,24.6,23.7,24.05,308050
2022-01-17 00:00:00+05:30,24.25,24.7,23.9,24.05,507339
2022-01-18 00:00:00+05:30,24,24.3,23,23.05,559500
2022-01-19 00:00:00+05:30,23.2,23.45,21.95,22.4,481084
2022-01-20 00:00:00+05:30,22.45,23.1,21.25,21.45,1037467
2022-01-21 00:00:00+05:30,21.55,22.1,20.35,20.9,1115025
2022-01-24 00:00:00+05:30,21.4,21.4,19.8,20,864716
2022-01-25 00:00:00+05:30,20,21.6,19.8,20,722987
2022-01-27 00:00:00+05:30,20.1,20.45,19.8,20,443335
2022-01-28 00:00:00+05:30,20,21,19.9,20.25,501167
2022-01-31 00:00:00+05:30,20.3,20.65,19.9,20.2,304590
2022-02-01 00:00:00+05:30,20.1,20.5,19.75,20,346493
2022-02-02 00:00:00+05:30,20.25,22.25,20,21.45,1026446
2022-02-03 00:00:00+05:30,21.45,22.5,21.1,21.55,437173
2022-02-04 00:00:00+05:30,22,22.35,21.1,21.25,350655
2022-02-07 00:00:00+05:30,21.4,21.7,20.85,21.1,256315
2022-02-08 00:00:00+05:30,21.25,21.4,20.35,20.5,226533
2022-02-09 00:00:00+05:30,20.7,21.65,20.2,20.55,290336
2022-02-10 00:00:00+05:30,20.7,21.9,20.4,21.3,716604
2022-02-11 00:00:00+05:30,20.95,21.2,20.55,20.7,268185
2022-02-14 00:00:00+05:30,20.2,20.55,19.8,19.9,367178
2022-02-15 00:00:00+05:30,19,19.85,18.6,19.3,376407
2022-02-16 00:00:00+05:30,19.5,20.25,19.5,19.7,185569
2022-02-17 00:00:00+05:30,19.9,20,19.05,19.2,287419
2022-02-18 00:00:00+05:30,19.2,19.5,18.95,19.05,137122
2022-02-21 00:00:00+05:30,19.35,19.35,17.6,18.1,263405
2022-02-22 00:00:00+05:30,17.9,18.05,17.1,17.9,337085
2022-02-23 00:00:00+05:30,18,19.25,18,18.7,247012
2022-02-24 00:00:00+05:30,17.2,18.25,15.8,16.2,643497
2022-02-25 00:00:00+05:30,16.75,18.1,16.75,17.45,243378
2022-02-28 00:00:00+05:30,17.45,18,17,17.5,173640
2022-03-02 00:00:00+05:30,17.5,18.1,17.4,17.8,145407
2022-03-03 00:00:00+05:30,17.8,18.2,17.5,17.7,129019
2022-03-04 00:00:00+05:30,17.25,17.95,17.25,17.75,107794
2022-03-07 00:00:00+05:30,17.45,17.75,17.05,17.25,140574
2022-03-08 00:00:00+05:30,17.4,17.75,17.25,17.45,136587
2022-03-09 00:00:00+05:30,17.6,18.05,17.2,17.85,154289
2022-03-10 00:00:00+05:30,18.15,18.85,17.75,17.85,192453
2022-03-11 00:00:00+05:30,17.95,18.15,17.75,17.9,186761
2022-03-14 00:00:00+05:30,17.9,18.25,17.55,17.85,184641
2022-03-15 00:00:00+05:30,18,18.3,17.6,17.75,160950
2022-03-16 00:00:00+05:30,17.95,18.1,17.6,17.65,135426
2022-03-17 00:00:00+05:30,17.7,17.9,17.5,17.6,146168
2022-03-21 00:00:00+05:30,17.55,18.15,17.25,17.6,303090
2022-03-22 00:00:00+05:30,17.7,18,17.5,17.8,202061
2022-03-23 00:00:00+05:30,17.6,17.95,16.8,16.95,563977
2022-03-24 00:00:00+05:30,16.95,17.05,16.1,16.2,632573
2022-03-25 00:00:00+05:30,16.2,16.95,14.9,15.65,1033210
2022-03-28 00:00:00+05:30,15.6,15.9,14.6,14.8,573222
2022-03-29 00:00:00+05:30,14.7,15.75,14.7,15.15,1435076
2022-03-30 00:00:00+05:30,15.5,15.7,14.8,14.95,617737
2022-03-31 00:00:00+05:30,15.05,15.4,14.25,14.5,587678
2022-04-01 00:00:00+05:30,14.5,15.7,14.5,15,680135
2022-04-04 00:00:00+05:30,15.25,16.1,15.25,15.5,717971
2022-04-05 00:00:00+05:30,15.75,16.25,15.65,15.8,679109
2022-04-06 00:00:00+05:30,15.9,17.4,15.7,16.3,1272895
2022-04-07 00:00:00+05:30,16.75,17.1,16.4,16.65,391862
2022-04-08 00:00:00+05:30,16.8,17,16.5,16.9,379117
