date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,428.4,448,425.9,441.85,186891
2022-01-04 00:00:00+05:30,448.5,485,439,456.7,403693
2022-01-05 00:00:00+05:30,454.5,475,442,471,255819
2022-01-06 00:00:00+05:30,464,471.5,460,467.55,116855
2022-01-07 00:00:00+05:30,468,477.35,459,462.1,193213
2022-01-10 00:00:00+05:30,467.8,478,458.5,464.6,227775
2022-01-11 00:00:00+05:30,469.95,505,467.95,494.95,547300
2022-01-12 00:00:00+05:30,499.4,508.35,481,484.9,317535
2022-01-13 00:00:00+05:30,487,496.7,475.65,482,152796
2022-01-14 00:00:00+05:30,481,490,471.15,485.95,60033
2022-01-17 00:00:00+05:30,489.4,489.8,474.5,477.85,76464
2022-01-18 00:00:00+05:30,480.8,496,477.25,483.9,164716
2022-01-19 00:00:00+05:30,480.25,494,473.6,480.7,148335
2022-01-20 00:00:00+05:30,484.65,485,471.65,475.6,66502
2022-01-21 00:00:00+05:30,474,483.95,471.2,475.45,127974
2022-01-24 00:00:00+05:30,470.1,505,438,444.7,407840
2022-01-25 00:00:00+05:30,440.1,462.5,433,458.5,72582
2022-01-27 00:00:00+05:30,455,462,427.3,435.4,184667
2022-01-28 00:00:00+05:30,443,451.65,440,441.3,52863
2022-01-31 00:00:00+05:30,443,454.5,437,444,71356
2022-02-01 00:00:00+05:30,452.45,491,443.05,475.4,187630
2022-02-02 00:00:00+05:30,480.8,496.95,463.1,481,1333734
2022-02-03 00:00:00+05:30,486,515,476.1,499.3,767431
2022-02-04 00:00:00+05:30,505,536.3,490.1,530.15,1092965
2022-02-07 00:00:00+05:30,545,591.9,544.05,553.4,1388336
2022-02-08 00:00:00+05:30,553.95,553.95,512.15,532.15,487914
2022-02-09 00:00:00+05:30,536.75,536.75,504.8,508.95,283278
2022-02-10 00:00:00+05:30,510.95,525.7,501,507.15,299249
2022-02-11 00:00:00+05:30,500,522,494.15,518.25,184972
2022-02-14 00:00:00+05:30,495,508.95,475.5,480.5,245147
2022-02-15 00:00:00+05:30,487,499,464.05,477.55,307456
2022-02-16 00:00:00+05:30,490.9,513.95,477.5,479.6,428894
2022-02-17 00:00:00+05:30,484.4,486.7,465,468.8,137109
2022-02-18 00:00:00+05:30,465,480,461.65,476.7,191801
2022-02-21 00:00:00+05:30,472,477.35,460.5,464.4,141298
2022-02-22 00:00:00+05:30,434,453.5,434,451.1,126288
2022-02-23 00:00:00+05:30,450,475,450,454.2,173354
2022-02-24 00:00:00+05:30,432.3,447,405,416.9,211558
2022-02-25 00:00:00+05:30,416.9,437.3,415.05,431.35,303178
2022-02-28 00:00:00+05:30,426,469,412.5,458,273208
2022-03-02 00:00:00+05:30,455.9,455.95,432.85,442.15,184449
2022-03-03 00:00:00+05:30,450.35,453.9,427.05,429.2,187270
2022-03-04 00:00:00+05:30,425,439.75,423.3,425,270628
2022-03-07 00:00:00+05:30,410,431,398.2,425.5,295029
2022-03-08 00:00:00+05:30,430,435,416.15,423.95,700451
2022-03-09 00:00:00+05:30,426.1,441.35,425.2,431.4,123909
2022-03-10 00:00:00+05:30,441.9,445,431.4,437.65,115953
2022-03-11 00:00:00+05:30,433,443.95,433,438.85,109703
2022-03-14 00:00:00+05:30,443.95,454,437,449.75,106905
2022-03-15 00:00:00+05:30,460,460,431.25,434.8,112951
2022-03-16 00:00:00+05:30,446.1,448.5,434,442.7,108991
2022-03-17 00:00:00+05:30,449.8,455.95,445.1,451.45,90416
2022-03-21 00:00:00+05:30,456.5,458.5,443,445.1,107615
2022-03-22 00:00:00+05:30,449.7,450.4,436.1,437.85,69259
2022-03-23 00:00:00+05:30,441.8,445.3,437,439.05,146402
2022-03-24 00:00:00+05:30,439.5,448.9,437,445.15,84933
2022-03-25 00:00:00+05:30,450,473.85,446.3,454.8,277135
2022-03-28 00:00:00+05:30,461.65,461.65,444.4,456.35,151126
2022-03-29 00:00:00+05:30,460,477,460,471.95,214834
2022-03-30 00:00:00+05:30,478,485,466,480.9,158166
2022-03-31 00:00:00+05:30,484,499.15,478,494.3,230352
2022-04-01 00:00:00+05:30,487,493.7,482,491.8,114971
2022-04-04 00:00:00+05:30,510,510,480,490.25,138125
2022-04-05 00:00:00+05:30,493.9,493.95,481.35,482.55,99357
2022-04-06 00:00:00+05:30,483.65,487.5,474.5,479.55,240426
2022-04-07 00:00:00+05:30,481.7,494.8,479.6,488.9,188447
2022-04-08 00:00:00+05:30,499,504.85,490.1,492.9,172040
