date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,102.5,104.2,102.5,103.4,45947
2022-01-04 00:00:00+05:30,104.05,105.15,102.9,104.1,61441
2022-01-05 00:00:00+05:30,104.8,106.5,103.2,104.85,89345
2022-01-06 00:00:00+05:30,104,106.1,103.5,104.35,70347
2022-01-07 00:00:00+05:30,104,105.35,103.3,103.9,44459
2022-01-10 00:00:00+05:30,104.7,108.85,103.65,107.1,229548
2022-01-11 00:00:00+05:30,107.2,109.65,106.05,107.45,136017
2022-01-12 00:00:00+05:30,108,116.1,107.6,111.4,873827
2022-01-13 00:00:00+05:30,111.5,111.9,108,108.8,187544
2022-01-14 00:00:00+05:30,108.55,112,107.6,110.15,193013
2022-01-17 00:00:00+05:30,110.8,113,109,109.35,116490
2022-01-18 00:00:00+05:30,110.2,110.5,107.1,107.75,95315
2022-01-19 00:00:00+05:30,107.35,109.55,105,107.25,81078
2022-01-20 00:00:00+05:30,107.25,108.8,106.35,107.2,39707
2022-01-21 00:00:00+05:30,107.2,107.85,104,104.65,54773
2022-01-24 00:00:00+05:30,105,105.05,99.85,100.9,91547
2022-01-25 00:00:00+05:30,100,102.85,99.35,102,49067
2022-01-27 00:00:00+05:30,100.8,105,100.2,101.85,140679
2022-01-28 00:00:00+05:30,102.7,105.9,102,102.8,83384
2022-01-31 00:00:00+05:30,103,104.65,102.9,103.4,41939
2022-02-01 00:00:00+05:30,103.45,108,103.4,103.85,136193
2022-02-02 00:00:00+05:30,104.6,104.75,103.4,103.8,59491
2022-02-03 00:00:00+05:30,103.5,110,103.5,108.8,212237
2022-02-04 00:00:00+05:30,107.8,108.25,105.6,106.35,80422
2022-02-07 00:00:00+05:30,106.45,106.45,104,104.2,39308
2022-02-08 00:00:00+05:30,104.85,106,102,103.05,47065
2022-02-09 00:00:00+05:30,103.3,104.85,100.25,102.15,66071
2022-02-10 00:00:00+05:30,100.5,101.95,99.1,100.35,80926
2022-02-11 00:00:00+05:30,101.2,106.8,100,104.15,552943
2022-02-14 00:00:00+05:30,101,102.85,97.3,98.95,122099
2022-02-15 00:00:00+05:30,99.7,100.95,96,98.75,87143
2022-02-16 00:00:00+05:30,99.55,101,99.1,99.65,50586
2022-02-17 00:00:00+05:30,100.5,100.7,97.65,97.95,55989
2022-02-18 00:00:00+05:30,97.5,97.95,95.9,96.1,51454
2022-02-21 00:00:00+05:30,97.45,97.45,92.1,92.55,57176
2022-02-22 00:00:00+05:30,92,92.25,90,91.15,54038
2022-02-23 00:00:00+05:30,92.55,93.85,92.05,92.3,36603
2022-02-24 00:00:00+05:30,90.95,90.95,81.5,82.65,111963
2022-02-25 00:00:00+05:30,85,98.4,85,87.8,70248
2022-02-28 00:00:00+05:30,86,95.6,83.45,94.9,132735
2022-03-02 00:00:00+05:30,93.4,98.8,91.1,94.35,105512
2022-03-03 00:00:00+05:30,95.8,96.75,93.6,94.5,31717
2022-03-04 00:00:00+05:30,93.05,94.25,91.4,91.8,37848
2022-03-07 00:00:00+05:30,90.05,90.9,89,89.4,40745
2022-03-08 00:00:00+05:30,91,92.1,88.05,90.3,29586
2022-03-09 00:00:00+05:30,92.15,93.3,90,91.85,49095
2022-03-10 00:00:00+05:30,93.4,95.65,92.55,92.75,49530
2022-03-11 00:00:00+05:30,92.05,93.95,91.5,92.5,25335
2022-03-14 00:00:00+05:30,93,94.05,91.5,92.2,70653
2022-03-15 00:00:00+05:30,92.85,93.5,89.1,91.15,62124
2022-03-16 00:00:00+05:30,91.7,92.75,91.2,92.4,43558
2022-03-17 00:00:00+05:30,93.45,93.5,90.9,91.3,71567
2022-03-21 00:00:00+05:30,92.75,95.45,91,93.05,144419
2022-03-22 00:00:00+05:30,93.3,93.9,91.45,91.95,35945
2022-03-23 00:00:00+05:30,92,93.45,90.9,91.15,52254
2022-03-24 00:00:00+05:30,91,92.1,90.05,90.25,58695
2022-03-25 00:00:00+05:30,90.75,91,88.95,89.15,48911
2022-03-28 00:00:00+05:30,88.2,89.9,85,85.25,121707
2022-03-29 00:00:00+05:30,87.3,87.4,82.4,82.8,159099
2022-03-30 00:00:00+05:30,84,85.95,83.7,84.5,91605
2022-03-31 00:00:00+05:30,85.85,85.9,82.15,82.85,113678
2022-04-01 00:00:00+05:30,84,87.05,82.9,86.4,101968
2022-04-04 00:00:00+05:30,87.35,92.7,87.35,90.65,286886
2022-04-05 00:00:00+05:30,90.95,95,90.65,93.45,229229
2022-04-06 00:00:00+05:30,93,95.9,92.8,94.3,126732
2022-04-07 00:00:00+05:30,94.7,96.5,93.4,94,102880
2022-04-08 00:00:00+05:30,94,94.65,92.75,93.65,49195
