date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,39.7,39.7,38.05,38.2,181911
2022-01-04 00:00:00+05:30,38.7,38.7,36.6,37.45,123150
2022-01-05 00:00:00+05:30,37.7,41.15,36.9,40.4,859294
2022-01-06 00:00:00+05:30,39.95,42.9,38,42,870124
2022-01-07 00:00:00+05:30,42.7,44.5,42,43.3,809439
2022-01-10 00:00:00+05:30,43,44.95,42.1,42.7,558740
2022-01-11 00:00:00+05:30,43.15,44.8,41.2,42.1,545906
2022-01-12 00:00:00+05:30,42.65,42.65,39,40.55,256761
2022-01-13 00:00:00+05:30,40.95,41.5,39.25,39.55,184623
2022-01-14 00:00:00+05:30,39.35,43.5,38.4,43.5,612669
2022-01-17 00:00:00+05:30,44.35,47.85,43.8,47.85,1684107
2022-01-18 00:00:00+05:30,49,50,44.4,45.6,1085057
2022-01-19 00:00:00+05:30,46,50,44.3,48.8,718267
2022-01-20 00:00:00+05:30,50.8,51.8,49.1,49.4,740055
2022-01-21 00:00:00+05:30,50.6,50.6,46.95,46.95,270700
2022-01-24 00:00:00+05:30,47.2,47.8,44.65,44.65,239296
2022-01-25 00:00:00+05:30,43.1,45.2,42.45,43.6,334759
2022-01-27 00:00:00+05:30,43.4,45.75,42.55,45.75,194539
2022-01-28 00:00:00+05:30,47.4,47.45,44.25,44.65,190029
2022-01-31 00:00:00+05:30,45.7,46.2,44,44.35,113224
2022-02-01 00:00:00+05:30,44.6,46.55,42.8,46.4,285243
2022-02-02 00:00:00+05:30,47.25,47.25,45.25,45.6,184296
2022-02-03 00:00:00+05:30,46,47,45.1,45.95,136357
2022-02-04 00:00:00+05:30,46.4,47.8,45.1,45.4,90284
2022-02-07 00:00:00+05:30,45.4,46,43.3,44.2,100973
2022-02-08 00:00:00+05:30,44.85,44.85,41.3,41.65,186313
2022-02-09 00:00:00+05:30,42.25,45.8,42.05,45.8,399575
2022-02-10 00:00:00+05:30,46.5,47.75,45,45.85,296675
2022-02-11 00:00:00+05:30,46.35,46.35,44.5,44.85,64218
2022-02-14 00:00:00+05:30,42.25,43.9,40.4,40.55,197953
2022-02-15 00:00:00+05:30,42.5,43,39.65,41.45,193596
2022-02-16 00:00:00+05:30,41.95,43.3,40.2,40.8,108748
2022-02-17 00:00:00+05:30,41.95,44.85,39.7,43.95,375322
2022-02-18 00:00:00+05:30,43.5,43.5,41.6,41.8,90377
2022-02-21 00:00:00+05:30,41,42.6,39.5,39.7,90007
2022-02-22 00:00:00+05:30,37.65,39.25,37.2,37.5,91557
2022-02-23 00:00:00+05:30,38.8,40.7,38.6,38.85,69382
2022-02-24 00:00:00+05:30,37.05,37.7,35,35,139413
2022-02-25 00:00:00+05:30,34.55,38.2,34.5,36.8,182883
2022-02-28 00:00:00+05:30,35.4,38.45,35.05,37.5,107804
2022-03-02 00:00:00+05:30,37.9,40.1,36.5,38.1,91914
2022-03-03 00:00:00+05:30,37.6,39.1,36.85,37.2,58112
2022-03-04 00:00:00+05:30,37.45,38.4,37.1,37.5,91515
2022-03-07 00:00:00+05:30,36.95,37.35,35.2,36.4,49381
2022-03-08 00:00:00+05:30,36.2,38.2,36.2,36.8,65824
2022-03-09 00:00:00+05:30,38.4,39.75,37.05,38.85,105230
2022-03-10 00:00:00+05:30,38.9,41,38.6,38.9,56434
2022-03-11 00:00:00+05:30,39.8,39.8,38,38.1,54897
2022-03-14 00:00:00+05:30,38.6,38.6,37.2,37.55,49800
2022-03-15 00:00:00+05:30,37.9,38.55,37.05,37.9,33672
2022-03-16 00:00:00+05:30,38.6,38.95,37.15,37.75,78440
2022-03-17 00:00:00+05:30,38.75,39,37.15,38.45,75705
2022-03-21 00:00:00+05:30,38.9,38.9,37.5,37.8,45697
2022-03-22 00:00:00+05:30,37.15,38.2,37.15,37.5,36449
2022-03-23 00:00:00+05:30,38.8,38.8,37,38.15,80846
2022-03-24 00:00:00+05:30,38.1,38.75,37.85,38.5,35893
2022-03-25 00:00:00+05:30,38.2,42.35,38.2,42.35,425151
2022-03-28 00:00:00+05:30,42.35,44.35,39.7,41.35,295341
2022-03-29 00:00:00+05:30,41.95,42.1,40,40.8,120562
2022-03-30 00:00:00+05:30,42.2,42.9,40.5,40.85,100709
2022-03-31 00:00:00+05:30,41.6,41.7,39.1,39.4,79454
2022-04-01 00:00:00+05:30,39.1,43,39.1,42.15,209386
2022-04-04 00:00:00+05:30,43.7,45.6,41.8,43.5,318711
2022-04-05 00:00:00+05:30,44.4,44.9,42.15,42.8,122335
2022-04-06 00:00:00+05:30,43.35,46.9,42.75,46.4,556843
2022-04-07 00:00:00+05:30,47.65,48,40.4,45.2,495268
2022-04-08 00:00:00+05:30,45.3,47.5,45.25,45.45,155110
